Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you want to take this survey in English or Spanish?¿Quieres responder la encuesta en inglés o español?,Please ask your teacher for their teacher code.,What is the name of your district and school?,,What grade are you currently enrolled in?,What is your gender?,Are you Hispanic/Latino/a?,What is your ethnicity? Select all that apply.,,,,,,,How often do you speak English at home? ,How much do you agree or disagree with the statements below?,,,,"For you personally, how true or not true is the statement below? (Select only one)",How much do you agree or disagree with the statement below? (Select one only),How much do you agree or disagree with the statements below?,,,,,How much do you agree or disagree with the statements below?,,,,"When reading the following statements, think about your current math class and decide how well the statements describe you.",,,,,,,,,,,,,How often does your math teacher do each of the following?,,"Por favor, pídele a tu profesor/a su código.",Selecciona el nombre de tu distrito escolar y escuela.,,"¿Actualmente, en qué grado estás matriculado?",¿Cuál es tu sexo/género?,¿Eres hispano / latino/a?,¿Cuál es tu raza/origen étnico? (seleccione todas las que correspondan),,,,,,,¿Qué tan frecuente hablas inglés en tu casa?,¿En qué medida estás de acuerdo o en desacuerdo con las siguientes declaraciones?,,,,"Para ti personalmente, ¿qué tan verdadera o no verdadera es la siguiente declaración? (Seleccione solo uno)",¿En qué medida está de acuerdo o en desacuerdo con la siguiente declaración? (Seleccione solo uno),¿En qué medida está de acuerdo o en desacuerdo con las siguientes declaraciones?,,,,,¿En qué medida está de acuerdo o en desacuerdo con las siguientes declaraciones?,,,,"Al leer las siguientes declaraciones, piensa en tu actual clase de matemáticas y decide qué tan bien te describen estas declaraciones.",,,,,,,,,,,,,¿Con qué frecuencia su profesor de matemáticas hace cada uno de los siguientes?,
13501336912,410322128,06/23/2022 06:29:52 AM,06/23/2022 06:38:33 AM,23.190.208.164,,,,,English / inglés,gme1008,Rochester City School District - Wilson Foundation,,7,Male,No,,,Black or African American,,,,,Always,Mostly disagree,Strongly disagree,Strongly disagree,Mostly disagree,Somewhat true,Agree,Agree,Agree,Agree,Slightly agree,Agree,Agree a little,Disagree a little,Agree a little,Agree a little,Somewhat like me,Somewhat like me,Not much like me,Somewhat like me,Mostly like me,Somewhat like me,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Mostly like me,Not much like me,Somewhat like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501330298,410322128,06/23/2022 06:21:08 AM,06/23/2022 06:32:27 AM,23.190.208.164,,,,,English / inglés,gme1008,Rochester City School District - Wilson Foundation,,7,Female,No,,,Black or African American,,,,,Always,Agree,Mostly agree,Mostly disagree,Strongly agree,Not at all true,Strongly agree,Slightly disagree,Disagree,Strongly agree,Slightly agree,Strongly agree,Disagree a lot,Agree a lot,Disagree a little,Disagree a lot,Not much like me,Somewhat like me,Not much like me,Somewhat like me,Mostly like me,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,Somewhat like me,Not much like me,Not much like me,Not much like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501331593,410322128,06/23/2022 06:22:51 AM,06/23/2022 06:31:55 AM,23.190.208.164,,,,,English / inglés,GME1008,Rochester City School District - Wilson Foundation,,7,Female,No,,,,Asian,,,,Almost always,Disagree,Mostly disagree,Disagree,Strongly agree,Very true,Strongly agree,Slightly agree,Disagree,Agree,Slightly disagree,Strongly agree,Agree a lot,Agree a lot,Agree a little,Agree a little,Not much like me,Mostly like me,Very much like me,Mostly like me,Very much like me,Very much like me,Somewhat like me,Somewhat like me,Not much like me,Very much like me,Mostly like me,Somewhat like me,Mostly like me,Never,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501337189,410322128,06/23/2022 06:30:00 AM,06/23/2022 06:30:56 AM,23.190.208.164,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501330447,410322128,06/23/2022 06:21:16 AM,06/23/2022 06:29:26 AM,23.190.208.164,,,,,English / inglés,GME1008,Rochester City School District - Wilson Foundation,,7,Female,No,,,,Asian,,,,Almost always,Disagree,Disagree,Disagree,Disagree,Somewhat true,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Agree a lot,Agree a little,Agree a lot,Agree a lot,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Mostly like me,Mostly like me,Somewhat like me,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,Not much like me,Somewhat like me,Some of the time,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501331939,410322128,06/23/2022 06:21:48 AM,06/23/2022 06:29:25 AM,23.190.208.164,,,,,English / inglés,GME1008,Rochester City School District - Wilson Foundation,,7,Male,No,,,,Asian,,,,Never,Disagree,Disagree,Disagree,Disagree,Very true,Strongly agree,Agree,Agree,Agree,Agree,,Agree a little,Agree a little,Agree a little,Agree a little,Somewhat like me,Somewhat like me,Not much like me,Mostly like me,Mostly like me,Mostly like me,Not much like me,Not much like me,Not much like me,Mostly like me,Mostly like me,Mostly like me,Somewhat like me,Some of the time,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501326920,410322128,06/23/2022 06:16:35 AM,06/23/2022 06:27:10 AM,23.190.208.164,,,,,English / inglés,GME1008,Rochester City School District - Wilson Foundation,,7,Male,No,,,Black or African American,,,,,Always,Strongly disagree,Disagree,Strongly disagree,Disagree,,Strongly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree a little,Agree a lot,Agree a little,Agree a little,Not much like me,Mostly like me,Not much like me,Mostly like me,Mostly like me,Mostly like me,Somewhat like me,Not much like me,Not much like me,Mostly like me,Mostly like me,Mostly like me,Mostly like me,Never,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501326755,410322128,06/23/2022 06:16:24 AM,06/23/2022 06:25:26 AM,23.190.208.164,,,,,English / inglés,GME1008,Rochester City School District - Wilson Foundation,,7,Male,No,,,Black or African American,,,,,Always,Mostly agree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely true,Strongly agree,Agree,Slightly agree,Agree,Slightly disagree,Agree,Agree a little,Agree a lot,Agree a little,Agree a lot,Very much like me,Somewhat like me,Not at all like me,Somewhat like me,Not at all like me,Somewhat like me,Mostly like me,Not at all like me,Not at all like me,Very much like me,Mostly like me,Somewhat like me,Very much like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501330290,410322128,06/23/2022 06:21:12 AM,06/23/2022 06:21:19 AM,23.190.208.164,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501325554,410322128,06/23/2022 06:14:47 AM,06/23/2022 06:18:17 AM,23.190.208.164,,,,,English / inglés,GME1008,Rochester City School District - Wilson Foundation,,7,Female,No,,,Black or African American,,,,,Almost always,Disagree,Mostly disagree,Mostly disagree,Strongly agree,Extremely true,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Disagree a lot,Disagree a lot,Disagree a lot,Disagree a little,Not much like me,Somewhat like me,Mostly like me,Not much like me,Somewhat like me,Mostly like me,Somewhat like me,Very much like me,Very much like me,Somewhat like me,Not much like me,Not at all like me,Somewhat like me,Some of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499585210,410322128,06/21/2022 06:07:53 AM,06/21/2022 06:08:44 AM,23.190.208.164,,,,,English / inglés,,,,7,Female,No,,,Black or African American,,,,,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499172872,410322128,06/19/2022 07:18:07 PM,06/20/2022 02:44:24 PM,108.30.207.157,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499080700,410322128,06/19/2022 07:18:07 PM,06/20/2022 12:11:46 PM,24.146.225.216,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13498533232,410322128,06/19/2022 07:18:07 PM,06/19/2022 07:18:13 PM,24.146.225.216,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13498402020,410322128,06/19/2022 01:01:18 PM,06/19/2022 01:01:25 PM,68.199.192.7,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13497827073,410322128,06/18/2022 06:03:41 AM,06/18/2022 06:04:07 AM,72.231.240.4,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13497429983,410322128,06/17/2022 11:11:56 AM,06/17/2022 11:12:12 AM,165.155.129.45,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13497160649,410322128,06/17/2022 04:41:02 AM,06/17/2022 04:41:11 AM,172.58.217.179,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496926903,410322128,06/16/2022 06:27:44 PM,06/16/2022 06:27:50 PM,98.13.7.50,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496913079,410322128,06/16/2022 05:50:27 PM,06/16/2022 05:50:32 PM,98.13.7.50,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496775210,410322128,06/16/2022 01:38:21 PM,06/16/2022 01:44:18 PM,74.74.104.46,,,,,English / inglés,AMW0516,Rochester City School District - Monroe Lower,,7,Male,No,,,,,White,,,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496634771,410322128,06/16/2022 10:15:31 AM,06/16/2022 10:20:24 AM,165.155.128.164,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DXS1234,Other (please specify),PS194,7mo grado,Hombre,Sí,,,,,,,HISPANO,Nunca,Mayormente de acuerdo,Mayormente en desacuerdo,Mayormente de acuerdo,Mayormente de acuerdo,Muy cierto,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Un poco en desacuerdo,Un poco de acuerdo,Un poco en desacuerdo,Muy en desacuerdo,No muy parecido a mí,Algo parecido a mí,Algo parecido a mí,Algo parecido a mí,Algo parecido a mí,Algo parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,Algo parecido a mí,No muy parecido a mí,No muy parecido a mí,Algo parecido a mí,Algunas veces,Algunas veces
13496607674,410322128,06/16/2022 09:41:31 AM,06/16/2022 09:47:24 AM,23.190.208.112,,,,,English / inglés,dam1010,Rochester City School District - School 12,,8,Male,No,,,Black or African American,,,,,Always,Disagree,Disagree,Strongly disagree,Mostly agree,Extremely true,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Agree a little,Agree a little,Agree a little,Agree a little,Not much like me,Mostly like me,Mostly like me,Very much like me,Somewhat like me,Mostly like me,Not much like me,Not much like me,Not at all like me,Not much like me,Somewhat like me,Somewhat like me,Not much like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496597293,410322128,06/16/2022 09:29:04 AM,06/16/2022 09:42:32 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,8,Male,Yes,,,Black or African American,,,,,Always,Mostly agree,Agree,Strongly disagree,Strongly agree,,Strongly agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree a lot,Agree a lot,Agree a little,Agree a little,Mostly like me,Very much like me,Very much like me,Mostly like me,Very much like me,Mostly like me,Not at all like me,Not at all like me,Mostly like me,Very much like me,Mostly like me,Somewhat like me,Very much like me,Never,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496601486,410322128,06/16/2022 09:33:58 AM,06/16/2022 09:42:29 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,8,Male,No,,,,,,,Jamaican,Always,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Very true,Agree,Agree,Agree,Agree,Agree,Agree,Agree a little,Agree a lot,Agree a little,Agree a little,Somewhat like me,Mostly like me,Not at all like me,Very much like me,Very much like me,Somewhat like me,Not at all like me,Not much like me,Not much like me,Very much like me,Very much like me,Somewhat like me,Very much like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496601822,410322128,06/16/2022 09:34:26 AM,06/16/2022 09:42:00 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,8,Male,No,,,,,,More than one race,,Always,Mostly disagree,Disagree,Disagree,Disagree,Slightly true,Agree,Agree,Agree,Agree,Slightly agree,Agree,Agree a little,Agree a lot,Agree a little,Agree a little,Not much like me,Mostly like me,Not much like me,Mostly like me,Mostly like me,Mostly like me,Not at all like me,Somewhat like me,Not much like me,Mostly like me,Somewhat like me,Somewhat like me,Somewhat like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496596845,410322128,06/16/2022 09:28:34 AM,06/16/2022 09:40:09 AM,23.190.208.112,,,,,English / inglés,,Rochester City School District - School 12,,8,Male,No,,,Black or African American,,,,,Almost always,Disagree,Mostly disagree,Mostly agree,Disagree,Somewhat true,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Agree a little,Agree a little,Agree a little,Agree a little,Not much like me,Mostly like me,Not much like me,Somewhat like me,Mostly like me,Mostly like me,Somewhat like me,Somewhat like me,Somewhat like me,Mostly like me,Mostly like me,Somewhat like me,Very much like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496599643,410322128,06/16/2022 09:31:48 AM,06/16/2022 09:37:57 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,8,Female,No,,,Black or African American,,,,,Always,Disagree,Disagree,Strongly disagree,Disagree,Not at all true,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree a lot,Agree a lot,Agree a lot,Agree a lot,Very much like me,Very much like me,Somewhat like me,Very much like me,Very much like me,Very much like me,Very much like me,Not at all like me,Not at all like me,Very much like me,Very much like me,Very much like me,Very much like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496598126,410322128,06/16/2022 09:30:01 AM,06/16/2022 09:36:00 AM,23.190.208.112,,,,,English / inglés,dam1010,Rochester City School District - School 12,,8,Male,No,American Indian or Alaska Native,,,,,,,Always,Mostly agree,,,,,,Slightly disagree,Slightly agree,Strongly disagree,Slightly disagree,Agree,Agree a little,Agree a little,Agree a little,Disagree a little,Not at all like me,Somewhat like me,Not much like me,Somewhat like me,Not at all like me,Somewhat like me,Not at all like me,Not much like me,Mostly like me,Not at all like me,Mostly like me,Not much like me,Somewhat like me,Once in a while,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496597241,410322128,06/16/2022 09:28:58 AM,06/16/2022 09:35:26 AM,23.190.208.112,,,,,English / inglés,dam1010,Rochester City School District - School 12,,7,Male,Yes,,,Black or African American,,,,,Always,Mostly agree,Mostly agree,Agree,Agree,Extremely true,Strongly agree,Agree,Slightly agree,Strongly agree,Strongly agree,Agree,Disagree a lot,Agree a lot,Agree a little,Disagree a lot,Somewhat like me,Not much like me,Mostly like me,Somewhat like me,Somewhat like me,Not much like me,Not at all like me,Somewhat like me,Not much like me,Somewhat like me,Mostly like me,Mostly like me,Somewhat like me,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
