id,question,prepost,site,percent,know_assess
hlg0574,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",75,ela_school_leaders
hlg0574,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",100,ela_school_leaders
hlg0574,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",25,ela_school_leaders
jaf1125,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
jaf1125,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",75,ela_school_leaders
jaf1125,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
jaf1125,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
jja0125,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
jja0125,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
jja0125,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
jja0125,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
jlb1110,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
jlb1110,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",75,ela_school_leaders
jlb1110,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",25,ela_school_leaders
jlb1110,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
kpb1008,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",100,ela_school_leaders
kpb1008,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
kpb1008,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
kpb1008,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",25,ela_school_leaders
leb1116,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
leb1116,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
leb1116,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
leb1116,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
lxc0127,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
lxc0127,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
lxc0127,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
lxc0127,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
mmv0121,Which of the following are examples of text-specific questions?,post,"NYC District 11 - District-wide, NY",100,ela_school_leaders
mmv0121,Which of the following are literacy instructional shifts?,post,"NYC District 11 - District-wide, NY",75,ela_school_leaders
mmv0121,Which of the following describes effective feedback to a teacher following an observation?,post,"NYC District 11 - District-wide, NY",50,ela_school_leaders
mmv0121,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,post,"NYC District 11 - District-wide, NY",0,ela_school_leaders
moc0512,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
moc0512,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
moc0512,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
moc0512,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
nmc0814,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",100,ela_school_leaders
nmc0814,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
nmc0814,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
nmc0814,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
nnc0121,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
nnc0121,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",100,ela_school_leaders
nnc0121,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
nnc0121,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
sjm0225,Which of the following are examples of text-specific questions?,post,"NYC District 11 - District-wide, NY",100,ela_school_leaders
sjm0225,Which of the following are literacy instructional shifts?,post,"NYC District 11 - District-wide, NY",100,ela_school_leaders
sjm0225,Which of the following describes effective feedback to a teacher following an observation?,post,"NYC District 11 - District-wide, NY",100,ela_school_leaders
sjm0225,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,post,"NYC District 11 - District-wide, NY",0,ela_school_leaders
smg0713,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
smg0713,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",25,ela_school_leaders
smg0713,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
smg0713,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
smr0404,Which of the following are examples of text-specific questions?,pre,North Bronx School of Empowerment,50,ela_school_leaders
smr0404,Which of the following are literacy instructional shifts?,pre,North Bronx School of Empowerment,25,ela_school_leaders
smr0404,Which of the following describes effective feedback to a teacher following an observation?,pre,North Bronx School of Empowerment,50,ela_school_leaders
smr0404,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,North Bronx School of Empowerment,0,ela_school_leaders
vrf0216,Which of the following are examples of text-specific questions?,post,"NYC District 11 - District-wide, NY",100,ela_school_leaders
vrf0216,Which of the following are literacy instructional shifts?,post,"NYC District 11 - District-wide, NY",75,ela_school_leaders
vrf0216,Which of the following describes effective feedback to a teacher following an observation?,post,"NYC District 11 - District-wide, NY",100,ela_school_leaders
vrf0216,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,post,"NYC District 11 - District-wide, NY",25,ela_school_leaders
ghg1122,Curriculum writers and teachers should consider the following when assessing a text's complexity EXCEPT:,post,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
ghg1122,Which of the following can effectively support students struggling to understand the main idea of a complex text?,post,"Brownington Central School, VT",25,ela_cycle_inquiry_complex_text
ghg1122,Which of the following is NOT a feature of an effective close reading lesson?,post,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
ghg1122,Which of the following is/are true of college- and career-ready standards and instructional shifts for English language arts?,post,"Brownington Central School, VT",25,ela_cycle_inquiry_complex_text
jau0121,Curriculum writers and teachers should consider the following when assessing a text's complexity EXCEPT:,post,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
jau0121,Which of the following can effectively support students struggling to understand the main idea of a complex text?,post,"Brownington Central School, VT",25,ela_cycle_inquiry_complex_text
jau0121,Which of the following is NOT a feature of an effective close reading lesson?,post,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
jau0121,Which of the following is/are true of college- and career-ready standards and instructional shifts for English language arts?,post,"Brownington Central School, VT",50,ela_cycle_inquiry_complex_text
lhb0814,Curriculum writers and teachers should consider the following when assessing a text's complexity EXCEPT:,post,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
lhb0814,Which of the following can effectively support students struggling to understand the main idea of a complex text?,post,"Brownington Central School, VT",50,ela_cycle_inquiry_complex_text
lhb0814,Which of the following is NOT a feature of an effective close reading lesson?,post,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
lhb0814,Which of the following is/are true of college- and career-ready standards and instructional shifts for English language arts?,post,"Brownington Central School, VT",25,ela_cycle_inquiry_complex_text
mvd0107,Curriculum writers and teachers should consider the following when assessing a text's complexity EXCEPT:,pre,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
mvd0107,Which of the following can effectively support students struggling to understand the main idea of a complex text?,pre,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
mvd0107,Which of the following is NOT a feature of an effective close reading lesson?,pre,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
mvd0107,Which of the following is/are true of college- and career-ready standards and instructional shifts for English language arts?,pre,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
sed0223,Curriculum writers and teachers should consider the following when assessing a text's complexity EXCEPT:,pre,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
sed0223,Which of the following can effectively support students struggling to understand the main idea of a complex text?,pre,"Brownington Central School, VT",75,ela_cycle_inquiry_complex_text
sed0223,Which of the following is NOT a feature of an effective close reading lesson?,pre,"Brownington Central School, VT",100,ela_cycle_inquiry_complex_text
sed0223,Which of the following is/are true of college- and career-ready standards and instructional shifts for English language arts?,pre,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
srr1226,Curriculum writers and teachers should consider the following when assessing a text's complexity EXCEPT:,post,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
srr1226,Which of the following can effectively support students struggling to understand the main idea of a complex text?,post,"Brownington Central School, VT",25,ela_cycle_inquiry_complex_text
srr1226,Which of the following is NOT a feature of an effective close reading lesson?,post,"Brownington Central School, VT",0,ela_cycle_inquiry_complex_text
srr1226,Which of the following is/are true of college- and career-ready standards and instructional shifts for English language arts?,post,"Brownington Central School, VT",25,ela_cycle_inquiry_complex_text
alv1225,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation involves students making connections between the text and themselves.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
alv1225,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation takes place between students.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
alv1225,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The students analyze chunks of text to see how they fit together.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
alv1225,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The teacher begins by summarizing the text that students just read.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
alv1225,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueEvery student is engaged and held accountable for his or her learning.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
alv1225,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueTeachers can group students homogeneously to ensure students are conversing in ability-alike groups.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
alv1225,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey ensure every student has a voice and their ideas are heard and recognized as being valuable.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
alv1225,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey give teachers greater control over what students ultimately produce.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
alv1225,How do protocols and TPTs support students’ comprehension of complex text?,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
amj0421,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation involves students making connections between the text and themselves.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
amj0421,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation takes place between students.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
amj0421,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The students analyze chunks of text to see how they fit together.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
amj0421,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The teacher begins by summarizing the text that students just read.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
amj0421,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueEvery student is engaged and held accountable for his or her learning.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
amj0421,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueTeachers can group students homogeneously to ensure students are conversing in ability-alike groups.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
amj0421,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey ensure every student has a voice and their ideas are heard and recognized as being valuable.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
amj0421,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey give teachers greater control over what students ultimately produce.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
amj0421,How do protocols and TPTs support students’ comprehension of complex text?,pre,"Delaware Department of Education, DE",100,ela_cycle_inquiry_speaking_listening
awp0402,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation involves students making connections between the text and themselves.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
awp0402,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation takes place between students.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
awp0402,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The students analyze chunks of text to see how they fit together.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
awp0402,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The teacher begins by summarizing the text that students just read.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
awp0402,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueEvery student is engaged and held accountable for his or her learning.,post,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
awp0402,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueTeachers can group students homogeneously to ensure students are conversing in ability-alike groups.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
awp0402,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey ensure every student has a voice and their ideas are heard and recognized as being valuable.,post,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
awp0402,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey give teachers greater control over what students ultimately produce.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
awp0402,How do protocols and TPTs support students’ comprehension of complex text?,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
cjt0626,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation involves students making connections between the text and themselves.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
cjt0626,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation takes place between students.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
cjt0626,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The students analyze chunks of text to see how they fit together.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
cjt0626,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The teacher begins by summarizing the text that students just read.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
cjt0626,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueEvery student is engaged and held accountable for his or her learning.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
cjt0626,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueTeachers can group students homogeneously to ensure students are conversing in ability-alike groups.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
cjt0626,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey ensure every student has a voice and their ideas are heard and recognized as being valuable.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
cjt0626,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey give teachers greater control over what students ultimately produce.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
cjt0626,How do protocols and TPTs support students’ comprehension of complex text?,pre,"Delaware Department of Education, DE",100,ela_cycle_inquiry_speaking_listening
clf1021,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation involves students making connections between the text and themselves.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation involves students making connections between the text and themselves.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation takes place between students.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
clf1021,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation takes place between students.,post,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
clf1021,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The students analyze chunks of text to see how they fit together.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The students analyze chunks of text to see how they fit together.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The teacher begins by summarizing the text that students just read.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The teacher begins by summarizing the text that students just read.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueEvery student is engaged and held accountable for his or her learning.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
clf1021,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueEvery student is engaged and held accountable for his or her learning.,post,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
clf1021,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueTeachers can group students homogeneously to ensure students are conversing in ability-alike groups.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueTeachers can group students homogeneously to ensure students are conversing in ability-alike groups.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey ensure every student has a voice and their ideas are heard and recognized as being valuable.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
clf1021,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey ensure every student has a voice and their ideas are heard and recognized as being valuable.,post,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
clf1021,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey give teachers greater control over what students ultimately produce.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey give teachers greater control over what students ultimately produce.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
clf1021,How do protocols and TPTs support students’ comprehension of complex text?,pre,"Delaware Department of Education, DE",100,ela_cycle_inquiry_speaking_listening
clf1021,How do protocols and TPTs support students’ comprehension of complex text?,post,"Delaware Department of Education, DE",100,ela_cycle_inquiry_speaking_listening
dls1008,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation involves students making connections between the text and themselves.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
dls1008,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation takes place between students.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
dls1008,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The students analyze chunks of text to see how they fit together.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
dls1008,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The teacher begins by summarizing the text that students just read.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
dls1008,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueEvery student is engaged and held accountable for his or her learning.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
dls1008,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueTeachers can group students homogeneously to ensure students are conversing in ability-alike groups.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
dls1008,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey ensure every student has a voice and their ideas are heard and recognized as being valuable.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
dls1008,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueThey give teachers greater control over what students ultimately produce.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
dls1008,How do protocols and TPTs support students’ comprehension of complex text?,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation involves students making connections between the text and themselves.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation involves students making connections between the text and themselves.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation takes place between students.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - Most of the conversation takes place between students.,post,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The students analyze chunks of text to see how they fit together.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The students analyze chunks of text to see how they fit together.,post,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The teacher begins by summarizing the text that students just read.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some observations from a text-based classroom conversation. Which are the characteristics of an effective text-based classroom conversation? - The teacher begins by summarizing the text that students just read.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueEvery student is engaged and held accountable for his or her learning.,pre,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueEvery student is engaged and held accountable for his or her learning.,post,"Delaware Department of Education, DE",50,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueTeachers can group students homogeneously to ensure students are conversing in ability-alike groups.,pre,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
ebg1179,Below are some statements about how protocols and total participation techniques (TPTs) can be used to ensure equity in the classroom. Please select all that are trueTeachers can group students homogeneously to ensure students are conversing in ability-alike groups.,post,"Delaware Department of Education, DE",0,ela_cycle_inquiry_speaking_listening
