survey_id,collector_id,respondent_id,date_created,date_modified,response_status,ip_address,"What is the name of your school, district, or parish?",Please ask your teacher for their teacher code.,What is your gender?,Are you Hispanic / Latino/a?,What is your race? Select all that apply. - American Indian or Alaska Native,What is your race? Select all that apply. - Native Hawaiian or other Pacific Islander,What is your race? Select all that apply. - Black or African American,What is your race? Select all that apply. - Asian,What is your race? Select all that apply. - White,What is your race? Select all that apply. - More than one race,What is your race? Select all that apply. - Prefer not to answer,What is your race? Select all that apply. - Other (please specify),How often do you speak English at home? ,What grade level are you currently enrolled in?,How often does your teacher do these things? - My teacher explains what we are learning in different ways to help students learn.,How often does your teacher do these things? - My teacher wants students from different cultures to respect one another.,How often does your teacher do these things? - My teacher uses what I already know to help me understand new ideas.,How often does your teacher do these things? - My teacher uses examples from my culture when teaching.,How often does your teacher do these things? - My teacher asks about ways that students’ cultures may be different from others.,How often does your teacher do these things? - My teacher helps students learn about other students and their cultures.,How often does your teacher do these things? - My teacher asks about students’ home life.,How often does your teacher do these things? - My teacher treats all students like they are important members of the classroom.,To what extent do you agree or disagree with the following statements? - This class is a happy place for me to be.,"To what extent do you agree or disagree with the following statements? - In this class, I feel like I belong.",To what extent do you agree or disagree with the following statements? - Being in this class makes me feel sad or angry.,To what extent do you agree or disagree with the following statements? - The things we have done in class this year are interesting.,"To what extent do you agree or disagree with the following statements? - Because of this teacher, I am learning to love this subject.",To what extent do you agree or disagree with the following statements? - I enjoy this subject this year.,To what extent do you agree or disagree with the following statements? - My teacher makes me feel that he/she really cares about me.,To what extent do you agree or disagree with the following statements? - I like the way my teacher treats me when I need help.,To what extent do you agree or disagree with the following statements? - My teacher seems to know if something is bothering me.,To what extent do you agree or disagree with the following statements? - I can do almost all the work in this class if I don’t give up.,"To what extent do you agree or disagree with the following statements? - Even when work is hard, I know I can learn it.",To what extent do you agree or disagree with the following statements? - I'm certain I can master the skills taught in this class.,"To what extent do you agree or disagree with the following statements? - When doing work for this class, I focus on learning, not the time work takes.",To what extent do you agree or disagree with the following statements? - I have been able to figure out the most difficult work in this class.,To what extent are the following statements true or not true? - My teacher makes sure that I try to do my best.,"To what extent are the following statements true or not true? - In this class, we learn a lot almost every day.","To what extent are the following statements true or not true? - In this class, we learn to correct our mistakes.","To what extent are the following statements true or not true? - In this class, my teacher accepts nothing less than our full effort.","To what extent are the following statements true or not true? - My teacher wants us to use our thinking skills, not just memorize things.",teacher
312653807,410320781,13478664102,2022-05-23T17:18:25Z,2022-05-23T17:26:29Z,completed,173.235.40.25,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,3,5- Always,4- A lot,5- Always,4- A lot,4- A lot,1- Never,3- Sometimes,5- Always,5- Agree,4- Somewhat agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,4- Mostly true,5- Totally true,Katrina Wallace
312653807,410320781,13478466245,2022-05-23T13:45:42Z,2022-05-23T13:47:51Z,partial,159.118.80.62,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas Keys
312653807,410320781,13477206365,2022-05-21T06:15:35Z,2022-05-21T06:22:49Z,completed,107.77.236.166,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,8,2- Rarely,5- Always,5- Always,5- Always,2- Rarely,1- Never,1- Never,4- A lot,1- Disagree,5- Agree,4- Somewhat agree,3- Neither disagree nor agree,1- Disagree,1- Disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither true nor untrue,3- Neither true nor untrue,3- Neither true nor untrue,3- Neither true nor untrue,4- Mostly true,Syble Harr
312653807,410320781,13476834376,2022-05-20T17:04:34Z,2022-05-20T18:17:05Z,completed,107.77.232.177,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,3- Sometimes,5- Always,2- Rarely,3- Sometimes,3- Sometimes,2- Rarely,3- Sometimes,3- Sometimes,2- Somewhat disagree ,4- Somewhat agree,4- Somewhat agree,2- Somewhat disagree ,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,1- Disagree,2- Somewhat disagree ,5- Agree,4- Somewhat agree,2- Mostly untrue ,4- Mostly true,5- Totally true,5- Totally true,5- Totally true,Thomas Keys
312653807,410320781,13475901003,2022-05-19T16:40:39Z,2022-05-19T16:48:18Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,5,5- Always,5- Always,4- A lot,2- Rarely,3- Sometimes,3- Sometimes,5- Always,5- Always,5- Agree,5- Agree,2- Somewhat disagree ,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,2- Somewhat disagree ,5- Agree,NA,NA,NA,NA,5- Totally true,Tracey Horton
312653807,410320781,13475893337,2022-05-19T16:33:29Z,2022-05-19T16:34:07Z,partial,173.235.40.26,"Mississippi Department of Education, MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tracey Horton
312653807,410320781,13475891942,2022-05-19T16:32:27Z,2022-05-19T16:34:30Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,3- Sometimes,2- Rarely,3- Sometimes,2- Rarely,3- Sometimes,3- Sometimes,NA,3- Sometimes,2- Somewhat disagree ,3- Neither disagree nor agree,2- Somewhat disagree ,3- Neither disagree nor agree,2- Somewhat disagree ,2- Somewhat disagree ,3- Neither disagree nor agree,NA,2- Somewhat disagree ,NA,NA,NA,4- Somewhat agree,2- Somewhat disagree ,3- Neither true nor untrue,2- Mostly untrue ,3- Neither true nor untrue,2- Mostly untrue ,3- Neither true nor untrue,hort
312653807,410320781,13475891265,2022-05-19T16:31:42Z,2022-05-19T16:32:18Z,partial,173.235.40.26,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tracey Horton
312653807,410320781,13475887278,2022-05-19T16:28:23Z,2022-05-19T16:35:38Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,5- Always,3- Sometimes,5- Always,4- A lot,4- A lot,5- Always,3- Sometimes,5- Always,1- Disagree,1- Disagree,5- Agree,2- Somewhat disagree ,2- Somewhat disagree ,5- Agree,3- Neither disagree nor agree,5- Agree,5- Agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,4- Mostly true,5- Totally true,Tracey Horton
312653807,410320781,13475886446,2022-05-19T16:27:35Z,2022-05-19T16:28:12Z,partial,173.235.40.26,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tracey Horton
312653807,410320781,13475886324,2022-05-19T16:27:22Z,2022-05-19T16:31:25Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,NA,NA,White,NA,NA,NA,Never,11,4- A lot,2- Rarely,3- Sometimes,4- A lot,3- Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4- Mostly true,NA,Tracey Horton
312653807,410320781,13475885492,2022-05-19T16:26:36Z,2022-05-19T16:30:21Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Male,Yes,American Indian or Alaska Native,NA,NA,Asian,NA,NA,NA,NA,Always,4,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Tracey Horton
312653807,410320781,13475885057,2022-05-19T16:26:29Z,2022-05-19T16:32:36Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,5- Always,5- Always,3- Sometimes,4- A lot,5- Always,3- Sometimes,1- Never,5- Always,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Totally true,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,Tracey Horton
312653807,410320781,13475885037,2022-05-19T16:26:15Z,2022-05-19T16:37:39Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,5- Always,4- A lot,4- A lot,4- A lot,5- Always,5- Always,3- Sometimes,3- Sometimes,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,4- Mostly true,5- Totally true,4- Mostly true,4- Mostly true,3- Neither true nor untrue,Tracey Horton
312653807,410320781,13475884559,2022-05-19T16:25:40Z,2022-05-19T16:37:32Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,5- Always,5- Always,5- Always,5- Always,3- Sometimes,5- Always,5- Always,NA,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Tracey Horton
312653807,410320781,13475884338,2022-05-19T16:25:41Z,2022-05-19T16:30:21Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,NA,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,5- Agree,5- Agree,3- Neither disagree nor agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Tracey Horton
312653807,410320781,13475884150,2022-05-19T16:24:39Z,2022-05-19T16:33:09Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,5- Always,5- Always,4- A lot,2- Rarely,4- A lot,4- A lot,NA,5- Always,5- Agree,5- Agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Tracey Horton
312653807,410320781,13475882946,2022-05-19T16:24:22Z,2022-05-19T16:27:26Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,5- Always,5- Always,5- Always,5- Always,5- Always,NA,3- Sometimes,5- Always,5- Agree,5- Agree,3- Neither disagree nor agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,2- Somewhat disagree ,5- Agree,5- Agree,4- Somewhat agree,1- Disagree,3- Neither disagree nor agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,4- Mostly true,Tracey Horton
312653807,410320781,13475882853,2022-05-19T16:23:42Z,2022-05-19T16:26:03Z,partial,173.235.40.26,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tracey Horton
312653807,410320781,13475882535,2022-05-19T16:24:07Z,2022-05-19T16:31:13Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,Prefer not to answer,NA,Almost always,4,4- A lot,4- A lot,4- A lot,4- A lot,5- Always,5- Always,1- Never,5- Always,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,NA,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Tracey Horton
312653807,410320781,13475881150,2022-05-19T16:22:43Z,2022-05-19T16:31:27Z,completed,173.235.40.26,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,NA,NA,NA,NA,NA,NA,Always,4,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,4- A lot,5- Always,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Tracey Horton
312653807,410320781,13475790917,2022-05-19T14:46:57Z,2022-05-19T15:14:22Z,completed,23.112.58.2,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,8,2- Rarely,3- Sometimes,3- Sometimes,3- Sometimes,2- Rarely,1- Never,2- Rarely,3- Sometimes,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,2- Somewhat disagree ,2- Mostly untrue ,2- Mostly untrue ,3- Neither true nor untrue,3- Neither true nor untrue,4- Mostly true,sulavin
312653807,410320781,13475645411,2022-05-19T12:21:49Z,2022-05-19T12:23:35Z,completed,66.175.168.211,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,5,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Rhonda Coleman
312653807,410320781,13475645041,2022-05-19T12:21:25Z,2022-05-19T12:24:58Z,completed,108.69.23.115,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,8,4- A lot,NA,3- Sometimes,3- Sometimes,3- Sometimes,4- A lot,4- A lot,5- Always,4- Somewhat agree,4- Somewhat agree,1- Disagree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,4- Mostly true,4- Mostly true,5- Totally true,5- Totally true,Syble Harr
312653807,410320781,13475052508,2022-05-18T19:25:28Z,2022-05-18T19:29:34Z,completed,172.99.218.2,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,8,5- Always,5- Always,4- A lot,NA,NA,4- A lot,5- Always,5- Always,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,5- Totally true,Syble Harr
312653807,410320781,13474988169,2022-05-18T18:17:20Z,2022-05-18T18:38:13Z,completed,50.86.50.255,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,8,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- Somewhat agree,5- Agree,2- Somewhat disagree ,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,4- Mostly true,5- Totally true,3- Neither true nor untrue,4- Mostly true,Syble Harr
312653807,410320781,13474981266,2022-05-18T18:09:14Z,2022-05-18T18:11:35Z,partial,172.99.218.2,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Syble Harr
312653807,410320781,13474980488,2022-05-18T18:08:32Z,2022-05-18T18:11:29Z,partial,50.86.50.255,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Syble Harr
312653807,410320781,13474924100,2022-05-18T17:13:56Z,2022-05-18T17:18:00Z,completed,50.86.122.82,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,5- Always,5- Always,3- Sometimes,2- Rarely,1- Never,2- Rarely,1- Never,5- Always,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,3- Neither disagree nor agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Theresa Savell
312653807,410320781,13474918633,2022-05-18T17:09:44Z,2022-05-18T17:17:37Z,completed,50.86.122.82,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,4,5- Always,5- Always,5- Always,4- A lot,3- Sometimes,5- Always,3- Sometimes,5- Always,4- Somewhat agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,3- Neither disagree nor agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Theresa Savell
