survey_id,collector_id,respondent_id,date_created,date_modified,response_status,ip_address,"What is the name of your child's school, district, or parish?","What is the name of your child's school, district, or parish? - Other (please specify)",What grade level is your child currently enrolled in?,What grades does your child typically earn in math class?,Gender: How does your child identify?,How do you describe your child’s race? You may check more than one box. - Native American Indian or Alaska Native,How do you describe your child’s race? You may check more than one box. - Asian,How do you describe your child’s race? You may check more than one box. - Black or African American,How do you describe your child’s race? You may check more than one box. - Native Hawaiian or Other Pacific Islander,How do you describe your child’s race? You may check more than one box. - White,How do you describe your child’s race? You may check more than one box. - Prefer not to say,How do you describe your child’s race? You may check more than one box. - Other (please specify),How do you describe your child’s ethnicity?,How often do you speak English at home?,Please indicate your level of agreement with the following statements. - I know how to contact my child’s teacher(s) if I have questions or concerns.,Please indicate your level of agreement with the following statements. - I feel comfortable reaching out to my child’s teacher if I have questions or concerns,Please indicate your level of agreement with the following statements. - I am satisfied with how often my child’s teacher engages with me.,Please indicate your level of agreement with the following statements. - My child’s teacher communicates with me or other family members about my child’s educational progress.,Please indicate your level of agreement with the following statements. - My child’s teacher structures parent-teacher conferences so that the meeting is not intimidating for me or other family members attending.,Please indicate your level of agreement with the following statements. - My child’s teacher establishes positive home-school relationships.,"Please indicate your level of agreement with the following statements. - My child’s teacher communicates with me or family members of my child in positive ways, not just when there is a problem.",Please indicate your level of agreement with the following statements. - My child is excited to go to class.,Please indicate your level of agreement with the following statements. - My child is comfortable talking to their teacher.,Please indicate your level of agreement with the following statements. - My child can get the help they need to complete their schoolwork.,Please indicate your level of agreement with the following statements. - My child’s teacher regularly shares detailed feedback on my child’s work.,Please indicate your level of agreement with the following statements. - The work my child is being asked to do is helping them learn new things.,How many assignments does your child complete?,Which best matches your belief about your child’s experience so far this year?,teacher
318058603,415176619,13472646864,2022-05-16T13:06:41Z,2022-05-16T13:08:43Z,completed,72.24.158.25,"Sale Elementary - Columbus Municipal School District, MS",NA,4,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,Most of their assignments,My child has learned a lot this year.,Jasmine Carter
318058603,415176619,13472224932,2022-05-15T21:08:03Z,2022-05-15T21:11:13Z,completed,198.71.102.215,"Sale Elementary - Columbus Municipal School District, MS",NA,4,Mostly Bs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Jasmine Carter
318058603,415176619,13472174129,2022-05-15T18:49:49Z,2022-05-15T18:54:35Z,completed,174.126.140.37,"Sale Elementary - Columbus Municipal School District, MS",NA,4,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,3- Neither disagree nor agree,4- Agree,I'm not sure.,3- Neither disagree nor agree,4- Agree,All of their assignments,My child has learned a lot this year.,Jasmine Carter
318058603,415176619,13470427368,2022-05-12T23:21:16Z,2022-05-12T23:24:08Z,completed,107.88.177.40,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Male,NA,NA,Black or African American,NA,White,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Mitzi Mullins
318058603,415176619,13470206478,2022-05-12T18:34:19Z,2022-05-12T18:38:01Z,completed,184.155.50.177,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Mitzi Mullins
318058603,415176619,13469346972,2022-05-11T21:16:48Z,2022-05-11T21:23:38Z,completed,107.136.63.251,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Mitzi Mullins
318058603,415176619,13428809618,2022-03-31T18:20:29Z,2022-03-31T18:24:25Z,completed,75.65.6.38,NA,Isable Elementary School,4,Mostly Cs,Female,Native American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,Hispanic or Latino,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dr. stats
318058603,415176619,13393379400,2022-03-12T21:47:09Z,2022-03-12T21:49:22Z,completed,174.203.64.35,"Oak Park Elementary - Laurel School District, MS",NA,3,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,3- Neither agree nor disagree,4- Agree,4- Agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,4- Agree,All of their assignments,My child has learned a lot this year.,Thalia Jones
318058603,415176619,13391367943,2022-03-11T17:40:16Z,2022-03-11T17:42:32Z,completed,160.3.246.46,"Sale Elementary - Columbus Municipal School District, MS",NA,4,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Jasmine Carter
318058603,415176619,13388716214,2022-03-10T18:45:22Z,2022-03-10T18:51:25Z,completed,50.86.48.228,"Galloway Elementary - Jackson Public Schools, MS",NA,NA,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,4- Agree,4- Agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Tracey Horton
318058603,415176619,13386682963,2022-03-10T01:01:40Z,2022-03-10T01:06:08Z,completed,108.234.175.137,"Durant Elementary - Holmes County Consolidated School District, MS",NA,3,Mostly Fs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,NA,5- Strongly agree,4- Agree,4- Agree,5- Strongly agree,5- Strongly agree,4- Agree,All of their assignments,My child has learned some this year.,Pearl Mabry
318058603,415176619,13385710033,2022-03-09T18:40:05Z,2022-03-09T18:41:23Z,partial,50.86.120.138,"B.F. Middle School - Noxubee County School District, MS",NA,7,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vivekanand Yamagowni
318058603,415176619,13385699678,2022-03-09T18:31:07Z,2022-03-09T18:45:10Z,completed,50.86.120.138,"B.F. Middle School - Noxubee County School District, MS",NA,7,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,3- Neither agree nor disagree,4- Agree,3- Neither disagree nor agree,2- Disagree,4- Agree,4- Agree,4- Agree,Most of their assignments,My child has learned a lot this year.,Vivekanand Yamagowni
318058603,415176619,13385682193,2022-03-09T18:30:20Z,2022-03-09T18:37:39Z,completed,50.86.120.138,"B.F. Middle School - Noxubee County School District, MS",NA,7,Mostly Fs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,4- Agree,3- Neither agree nor disagree,4- Agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,5- Strongly agree,5- Strongly agree,4- Agree,Some of their assignments,My child has learned some this year.,Vivekanand Yamagowni
318058603,415176619,13384951134,2022-03-09T14:21:09Z,2022-03-09T14:25:06Z,partial,97.64.61.152,"B.F. Middle School - Noxubee County School District, MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318058603,415176619,13384132040,2022-03-09T06:14:46Z,2022-03-09T06:21:43Z,completed,174.202.198.121,"S.V. Marshall Middle School - Holmes County Consolidated School District, MS",NA,6,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,3- Neither agree nor disagree,4- Agree,3- Neither disagree nor agree,4- Agree,4- Agree,4- Agree,Some of their assignments,My child has learned a lot this year.,William Washington
318058603,415176619,13383343565,2022-03-08T22:25:23Z,2022-03-08T22:28:26Z,completed,74.175.210.28,"Morgantown Middle School, Natchez-Adams School District, MS",NA,8,Mostly As,Female,NA,NA,NA,NA,White,NA,NA,Not Hispanic or Latino,Always,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,All of their assignments,My child has learned a lot this year.,Natasha Patten
318058603,415176619,13383190900,2022-03-08T21:23:25Z,2022-03-08T21:28:01Z,completed,159.118.80.62,"Durant Elementary - Holmes County Consolidated School District, MS",NA,4,Mostly Bs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,1- Strongly disagree,1- Strongly disagree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,5- Strongly agree,2- Disagree,4- Agree,3- Neither disagree nor agree,5- Strongly agree,Some of their assignments,My child has learned some this year.,Thomas Keys
318058603,415176619,13380133536,2022-03-07T21:41:14Z,2022-03-07T22:02:58Z,completed,107.141.17.168,"B.F. Middle School - Noxubee County School District, MS",NA,7,Mostly Bs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,2- Disagree,2- Disagree,4- Agree,3- Neither agree nor disagree,4- Agree,4- Agree,4- Agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned some this year.,miari franklin
318058603,415176619,13378722407,2022-03-07T12:51:21Z,2022-03-07T12:58:19Z,completed,97.64.62.138,"B.F. Middle School - Noxubee County School District, MS",NA,7,Mostly As,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,3- Neither disagree nor agree,5- Strongly agree,5- Strongly agree,3- Neither disagree nor agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Vivekanand Yamagowni
318058603,415176619,13377996840,2022-03-07T03:30:41Z,2022-03-07T03:33:16Z,completed,50.86.51.49,"Cook Elementary - Columbus Municipal School District, MS",NA,NA,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,I'm not sure.,2- Disagree,4- Agree,5- Strongly agree,4- Agree,Few of their assignments,My child has learned some this year.,Mitzi Mullins
318058603,415176619,13375119990,2022-03-04T22:17:54Z,2022-03-04T22:20:01Z,completed,108.203.99.151,"B.F. Middle School - Noxubee County School District, MS",NA,NA,Mostly Cs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,4- Agree,I'm not sure.,4- Agree,4- Agree,4- Agree,4- Agree,All of their assignments,My child has learned some this year.,Vivekanand Yamagowni
318058603,415176619,13372950449,2022-03-04T02:13:23Z,2022-03-04T02:18:40Z,completed,174.202.196.99,"Earl Nash Elementary - Noxubee County School District, MS",NA,4,Mostly Cs,Male,NA,Asian,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,2- Disagree,5- Strongly agree,3- Neither agree nor disagree,1- Strongly disagree,1- Strongly disagree,5- Strongly agree,5- Strongly agree,I'm not sure.,I'm not sure.,5- Strongly agree,1- Strongly disagree,1- Strongly disagree,All of their assignments,My child has learned a lot this year.,Ms. Rice
318058603,415176619,13372941608,2022-03-04T02:07:38Z,2022-03-04T02:09:37Z,completed,107.115.177.7,"Earl Nash Elementary - Noxubee County School District, MS",NA,4,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,1- Strongly disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,1- Strongly disagree,1- Strongly disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,1- Strongly disagree,3- Neither disagree nor agree,All of their assignments,My child has learned some this year.,Jacqueline Leach
318058603,415176619,13372932625,2022-03-04T02:01:34Z,2022-03-04T02:03:33Z,completed,107.115.177.51,"Cook Elementary - Columbus Municipal School District, MS",NA,NA,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Nykol Robertson
318058603,415176619,13372845950,2022-03-04T01:05:24Z,2022-03-04T01:08:59Z,completed,107.136.62.104,"Cook Elementary - Columbus Municipal School District, MS",NA,NA,Mostly As,Male,NA,NA,NA,NA,White,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,All of their assignments,My child has learned some this year.,Nykol Robertson
318058603,415176619,13372793011,2022-03-04T00:34:47Z,2022-03-04T00:36:20Z,partial,50.86.54.107,"B.F. Middle School - Noxubee County School District, MS",NA,7,Mostly Ds,Male,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vivekanand Yamagowni
318058603,415176619,13372747822,2022-03-04T00:10:55Z,2022-03-04T00:16:08Z,completed,184.155.220.253,"Sale Elementary - Columbus Municipal School District, MS",NA,NA,Mostly As,Female,NA,NA,NA,NA,White,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Julie Richards
318058603,415176619,13372564230,2022-03-03T22:52:05Z,2022-03-03T22:55:34Z,completed,75.65.3.220,"Galloway Elementary - Jackson Public Schools, MS",NA,5,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Quintavious Phillips
318058603,415176619,13371125627,2022-03-03T13:45:40Z,2022-03-03T13:46:41Z,partial,173.235.40.29,"Galloway Elementary - Jackson Public Schools, MS",NA,4,Mostly Bs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tracey Horton
318058603,415176619,13369888653,2022-03-03T00:09:46Z,2022-03-03T00:15:25Z,completed,67.60.136.139,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Nykol Robertson
318058603,415176619,13369820048,2022-03-02T23:37:59Z,2022-03-02T23:42:05Z,completed,162.227.59.237,"B.F. Middle School - Noxubee County School District, MS",NA,8,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Agree,3- Neither disagree nor agree,3- Neither disagree nor agree,Some of their assignments,My child has learned some this year.,Samoria Conner
318058603,415176619,13369642113,2022-03-02T22:27:40Z,2022-03-02T22:56:46Z,completed,97.64.61.152,"B.F. Middle School - Noxubee County School District, MS",NA,8,Mostly Fs,Female,NA,NA,NA,NA,NA,NA,Middle Eastern,Not Hispanic or Latino,Almost always,4- Agree,4- Agree,3- Neither agree nor disagree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,3- Neither disagree nor agree,4- Agree,3- Neither disagree nor agree,3- Neither disagree nor agree,5- Strongly agree,Few of their assignments,My child has learned some this year.,Ms. Hill
318058603,415176619,13369636567,2022-03-02T22:25:07Z,2022-03-02T22:28:04Z,completed,96.19.161.160,"Sale Elementary - Columbus Municipal School District, MS",NA,4,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,All of their assignments,My child has learned a lot this year.,Jasmine Carter
318058603,415176619,13369449347,2022-03-02T21:04:57Z,2022-03-02T21:07:27Z,completed,184.155.50.177,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Mitzi Mullins
318058603,415176619,13368612229,2022-03-02T15:36:02Z,2022-03-02T15:39:58Z,completed,50.86.124.34,"Williams Sullivan Middle School - Holmes County Consolidated School District, MS",NA,6,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,3- Neither disagree nor agree,4- Agree,4- Agree,I'm not sure.,4- Agree,All of their assignments,My child has learned a lot this year.,Monica Anderson
318058603,415176619,13367438749,2022-03-02T04:00:19Z,2022-03-02T04:07:06Z,completed,107.136.63.110,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Male,NA,NA,NA,NA,NA,Prefer not to say,NA,Hispanic or Latino,Sometimes,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,Few of their assignments,My child has learned a lot this year.,Nykol Robertson
318058603,415176619,13367104935,2022-03-02T00:21:52Z,2022-03-02T00:24:56Z,completed,174.202.202.48,"Earl Nash Elementary - Noxubee County School District, MS",NA,4,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,Most of their assignments,My child has learned a lot this year.,Jacqueline Leach
