id,"response id","question id","choice id","question name","question content",choice
2498,85,1072,2498,MS_ACC_02_A,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-d021d05e-7fff-a603-2b07-ad8cedc0c037""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-108b851e-7fff-6396-4c70-5f676a1a0a72"">If the teacher provides the proper scaffolds, all students in the class will be able to succeed with grade-level texts and tasks. </b></span></b></b></span></b></span></b></span></b></b></b><br></p>","Strongly agree"
2512,85,1078,2512,KMTH_EQI_01,"<p><span id=""docs-internal-guid-e28046a7-7fff-bf45-dc13-29abdea644b0""><b><b id=""docs-internal-guid-b357cdd2-7fff-369e-ab0e-1015bc72e818""><span style=""font-weight: bolder; font-size: 0.9375rem;"">Equitable instruction in math includes which of the following?&nbsp;</span></b></b></span><br></p>","Creating opportunities for students to practice saying out loud how they solved for a problem."
2515,85,1079,2515,KMTH_ETP_02,"<p><span id=""docs-internal-guid-48140e55-7fff-d2d3-a605-69864c529e8c""><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following actions BEST describes equitable instructional strategies for supporting students with unfinished learning in math?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:29056,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11,&quot;17&quot;:1}""><b><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following questions will give you the LEAST amount of insight into what the student is thinking?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12672,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">Which of the following questions will give you the LEAST amount of insight into what the student is thinking?</span></b></span></span><br></p>","What’s the first step?"
2519,85,1080,2519,KMTH_ETP_03,"<p><span id=""docs-internal-guid-48140e55-7fff-d2d3-a605-69864c529e8c""><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following actions BEST describes equitable instructional strategies for supporting students with unfinished learning in math?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:29056,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11,&quot;17&quot;:1}""><b><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following questions will give you the LEAST amount of insight into what the student is thinking?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12672,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}""><b id=""docs-internal-guid-29748278-7fff-da8c-ba46-ff7e8b6690d6""><span style=""font-weight: bolder; font-size: 0.9375rem;"">Which of the following is the LEAST effective method of helping students understand and make connections between representations?</span><br></b></span></b></span></span><br></p>","Explicitly teaching students how to use certain representations."
2641,231,1135,2641,Subject,"<p><span id=""docs-internal-guid-56978e54-7fff-17de-540c-74c7ed4747ba""><b>Which subject area do you/ do you expect to work with Teaching Lab on this year? </b></span><br></p>",Mathematics
2696,231,1151,2696,KMTH_SHF_02,"<p><span id=""docs-internal-guid-e28046a7-7fff-bf45-dc13-29abdea644b0""><b>What does “rigor” mean in math instruction, as defined by the instructional shifts? </b></span><br></p>","Giving students opportunities to develop deep commands of the how, why, and when of mathematical concepts."
2708,231,1153,2708,KMTH_EQI_03,"<p><span id=""docs-internal-guid-54e91075-7fff-4d86-6614-488c17ffe087""><b id=""docs-internal-guid-a8b2e328-7fff-1ce7-a05e-2047423fd689"">Please complete this statement: Eliciting and using student thinking is an equitable teaching practice because this practice...</b></span><br></p>","Enables teachers to make in-the-moment decisions on how to respond to students with questions and prompts that probe, scaffold, and extend to meet various learning needs."
2711,231,1154,2711,KMTH_SUL_01,"<p><span id=""docs-internal-guid-48140e55-7fff-d2d3-a605-69864c529e8c""><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following actions BEST describes equitable instructional strategies for supporting students with unfinished learning in math?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:29056,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11,&quot;17&quot;:1}""><b>Which of the following actions BEST describes equitable instructional strategies for supporting students with unfinished learning in math?</b></span></span><br></p>","Identifying unfinished learning leading up to the current topic and teach 1-2 lessons targeting those prerequisites at the beginning of the topic."
2723,231,1160,2723,MS_RC_01_A,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455"">Teachers should be color blind when it comes to their teaching - They shouldn’t think of their students in terms of their race or ethnicity.</b></b><br></p>","Strongly disagree"
2728,231,1162,2728,Role,"<p><b id=""docs-internal-guid-c29a3b05-7fff-1ead-a75a-9e6e16f1f2d4"">Which of the following best describes your role?</b><br></p>",Teacher
2732,231,1164,2732,MS_RC_01_T,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;"">I am color blind when it comes to my teaching - I don’t think of my students in terms of their race or ethnicity.</span></b></b></b><br></p>","Neither agree nor disagree"
2738,231,1166,2738,MS_EB_01_T,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;"">I try to keep in mind the limits of my students’ ability and give them assignments that I know they can do so that they do not become discouraged.</span></b></span></b></span></b></b></b><br></p>",Agree
2742,231,1168,2742,MS_RC_02_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-e9b14c3a-7fff-9dc8-d99a-3915f43d3248""><span style=""font-weight: bolder; font-size: 0.9375rem;"">The gap in the achievement among students of different races is about poverty, not race.</span></b></b></b><br></p>","Neither agree nor disagree"
2753,231,1172,2753,MS_EB_02_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab"">Before students are asked to engage in complex learning tasks, they need to have a solid grasp of basic skills.</b></b></span></b></span></b></span></b></b></b><br></p>",Agree
2756,231,1174,2756,MS_EB_03_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab""></b></b></span><b id=""docs-internal-guid-7562c9a5-7fff-c624-5b0a-83da61b07047"">It is not fair to ask students who are struggling with English to take on challenging academic assignments.</b></b></span></b></span></b></b></b><br></p>",Disagree
2763,231,1175,2763,MS_EB_04_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab""></b></b></span><b id=""docs-internal-guid-7562c9a5-7fff-c624-5b0a-83da61b07047""><b id=""docs-internal-guid-5710f0a5-7fff-dd42-7795-7d35212eedfa""><span style=""font-weight: bolder; font-size: 0.9375rem;"">Teachers should provide all students the opportunity to work with grade-level texts and tasks.</span><br></b></b></b></span></b></span></b></b></b></p>",Agree
2767,231,1176,2767,MS_GMS_01_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab""></b></b></span><b id=""docs-internal-guid-7562c9a5-7fff-c624-5b0a-83da61b07047""><b id=""docs-internal-guid-5710f0a5-7fff-dd42-7795-7d35212eedfa""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-2bbd8a81-7fff-7f06-4bbe-27c643d27259"">To be honest, students have a certain amount of intelligence, and they really can’t do much to change it.</b></span><br></b></b></b></span></b></span></b></b></b></p>","Neither agree nor disagree"
2772,231,1177,2772,MS_GMS_02_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab""></b></b></span><b id=""docs-internal-guid-7562c9a5-7fff-c624-5b0a-83da61b07047""><b id=""docs-internal-guid-5710f0a5-7fff-dd42-7795-7d35212eedfa""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-2bbd8a81-7fff-7f06-4bbe-27c643d27259""><b id=""docs-internal-guid-6dcdcbc1-7fff-a362-5752-0658c6a66312"">Your intelligence is something about you that you can’t change very much.</b></b></span><br></b></b></b></span></b></span></b></b></b></p>","Neither agree nor disagree"
2779,231,1178,2779,MS_ACC_01_T,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-55f2b419-7fff-2e76-189c-52f888f5af65"">If a child doesn’t learn something the first time, I will try another way.</b></span></b></span></b></span></b></b></b><br></p>","Strongly agree"
2788,231,1182,2788,MS_ACC_02_T,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-55f2b419-7fff-2e76-189c-52f888f5af65""><b id=""docs-internal-guid-8fb8d1c0-7fff-bf18-2a92-8a42c6d6c131"">If I provide the proper scaffolds, all students in my class will be able to succeed with grade-level texts and tasks.</b></b></span></b></span></b></span></b></b></b><br></p>",Agree
2809,231,1189,2809,KMTH_EQI_01,"<p><span id=""docs-internal-guid-e28046a7-7fff-bf45-dc13-29abdea644b0""><b><b id=""docs-internal-guid-b357cdd2-7fff-369e-ab0e-1015bc72e818""><span style=""font-weight: bolder; font-size: 0.9375rem;"">Equitable instruction in math includes which of the following?&nbsp;</span></b></b></span><br></p>","I’m not sure."
2814,231,1190,2814,KMTH_ETP_02,"<p><span id=""docs-internal-guid-48140e55-7fff-d2d3-a605-69864c529e8c""><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following actions BEST describes equitable instructional strategies for supporting students with unfinished learning in math?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:29056,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11,&quot;17&quot;:1}""><b><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following questions will give you the LEAST amount of insight into what the student is thinking?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12672,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">Which of the following questions will give you the LEAST amount of insight into what the student is thinking?</span></b></span></span><br></p>","I’m not sure."
2819,231,1191,2819,KMTH_ETP_03,"<p><span id=""docs-internal-guid-48140e55-7fff-d2d3-a605-69864c529e8c""><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following actions BEST describes equitable instructional strategies for supporting students with unfinished learning in math?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:29056,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11,&quot;17&quot;:1}""><b><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following questions will give you the LEAST amount of insight into what the student is thinking?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12672,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}""><b id=""docs-internal-guid-29748278-7fff-da8c-ba46-ff7e8b6690d6""><span style=""font-weight: bolder; font-size: 0.9375rem;"">Which of the following is the LEAST effective method of helping students understand and make connections between representations?</span><br></b></span></b></span></span><br></p>","I’m not sure."
