student_id,teacher_id,prepost,What is your student identification number as provided by your school or teacher?,What is the name of your school district or parish?,What is your gender?,Are you Hispanic/Latino/a?,What is your race? - American Indian or Alaska Native,What is your race? - Native Hawaiian or other Pacific Islander,What is your race? - Black or African American,What is your race? - Asian,What is your race? - White,What is your race? - More than one race,What is your race? - Other (please specify),How often do you speak English at home? ,What grade level of math are you currently enrolled in?,How often does your teacher do these things? - My teacher explains what we are learning in different ways.,How often does your teacher do these things? - My teacher uses what I already know to help me understand new ideas.,How often does your teacher do these things? - My teacher wants students from different cultures to respect one another.,How often does your teacher do these things? - My teacher treats all students like they are important members of the classroom.,How often does your teacher do these things? - My teacher uses examples from my culture when teaching.,How often does your teacher do these things? - My teacher asks about students’ home life.,How often does your teacher do these things? - My teacher asks about ways that students’ cultures may be different from others.,How often does your teacher do these things? - My teacher helps students learn about other students and their cultures.,To what extent do you agree or disagree with the following statements? - This math class is a happy place for me to be.,To what extent do you agree or disagree with the following statements? - Being in this math class makes me feel sad or angry.,To what extent do you agree or disagree with the following statements? - The things we have done in math this year are interesting.,"To what extent do you agree or disagree with the following statements? - Because of this teacher, I am learning to love math.",To what extent do you agree or disagree with the following statements? - I enjoy math class this year.,To what extent do you agree or disagree with the following statements? - My teacher makes me feel that he/she really cares about me.,To what extent do you agree or disagree with the following statements? - I like the way my teacher treats me when I need help.,"To what extent do you agree or disagree with the following statements? - Even when math is hard, I know I can learn it.",To what extent do you agree or disagree with the following statements? - I can do almost all the math in this class if I don't give up.,To what extent do you agree or disagree with the following statements? - I'm certain I can master the math skills taught in this class.,"To what extent do you agree or disagree with the following statements? - When doing work for this math class, I focus on learning not time work takes.",To what extent do you agree or disagree with the following statements? - I have been able to figure out the most difficult work in this math class.,To what extent are the following statements true or not true? - My teacher makes sure that I try to do my best.,"To what extent are the following statements true or not true? - In this class, we learn a lot almost every day.","To what extent are the following statements true or not true? - In this class, we learn to correct our mistakes.","To what extent are the following statements true or not true? - In this class, my teacher accepts nothing less than our full effort.","To what extent are the following statements true or not true? - My teacher wants us to use our thinking skills, not just memorize things."
student_38,teacher_8,post,1717,Raton Public Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Always,6,4- A lot,4- A lot,5- Always,5- Always,4- A lot,2- Rarely,4- A lot,4- A lot,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,4- Somewhat agree,4- Somewhat agree,2- Somewhat disagree,4- Somewhat agree,2- Somewhat disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,5- Totally true,4- Mostly true,4- Mostly true,4- Mostly true,5- Totally true
student_167,teacher_8,post,707,Raton Public Schools,Male,Yes,NA,NA,NA,NA,White,NA,NA,Always,6,4- A lot,4- A lot,5- Always,5- Always,3- Sometimes,3- Sometimes,3- Sometimes,2- Rarely,4- Somewhat agree,2- Somewhat disagree,NA,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_5,teacher_8,post,1010,Raton Public Schools,Male,No,NA,NA,NA,NA,White,NA,NA,Always,6,3- Sometimes,4- A lot,5- Always,5- Always,5- Always,4- A lot,5- Always,5- Always,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,2- Somewhat disagree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,1- Disagree,5- Agree,2- Somewhat disagree,2- Mostly untrue,5- Totally true,2- Mostly untrue,3- Neither untrue nor true,5- Totally true
student_4,teacher_8,post,101,Raton Public Schools,Male,Yes,American Indian or Alaska Native,NA,NA,NA,NA,NA,hispanic,Almost always,6,5- Always,4- A lot,5- Always,4- A lot,3- Sometimes,4- A lot,3- Sometimes,5- Always,4- Somewhat agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_205,teacher_8,post,909,Raton Public Schools,Female,No,NA,NA,NA,NA,White,More than one race,NA,Always,6,5- Always,3- Sometimes,5- Always,3- Sometimes,1- Never,4- A lot,3- Sometimes,3- Sometimes,4- Somewhat agree,1- Disagree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,1- Disagree,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Mostly true,4- Mostly true,5- Totally true,4- Mostly true,5- Totally true
student_126,teacher_8,post,505,Raton Public Schools,Non-binary,No,NA,Native Hawaiian or other Pacific Islander,NA,NA,NA,More than one race,NA,Almost always,6,4- A lot,5- Always,5- Always,4- A lot,1- Never,5- Always,2- Rarely,3- Sometimes,2- Somewhat disagree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,2- Somewhat disagree,3- Neither disagree nor agree,4- Somewhat agree,2- Somewhat disagree,2- Somewhat disagree,2- Somewhat disagree,3- Neither disagree nor agree,1- Disagree,4- Mostly true,4- Mostly true,4- Mostly true,3- Neither untrue nor true,4- Mostly true
student_11,teacher_8,post,1212,Raton Public Schools,Female,Yes,NA,NA,NA,NA,NA,NA,mexican,Always,6,5- Always,5- Always,5- Always,5- Always,4- A lot,4- A lot,2- Rarely,4- A lot,5- Agree,2- Somewhat disagree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Totally true,4- Mostly true,4- Mostly true,5- Totally true,2- Mostly untrue
student_23,teacher_8,post,1515,Raton Public Schools,Female,Yes,NA,NA,NA,NA,NA,NA,Hispanic,Always,6,4- A lot,5- Always,5- Always,5- Always,2- Rarely,4- A lot,1- Never,3- Sometimes,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,3- Neither disagree nor agree,5- Agree,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Mostly true,5- Totally true,2- Mostly untrue,5- Totally true,5- Totally true
student_226,teacher_3,post,970072260,Albuquerque Public Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Almost always,11,4- A lot,4- A lot,5- Always,5- Always,3- Sometimes,1- Never,1- Never,1- Never,4- Somewhat agree,1- Disagree,5- Agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_221,teacher_3,post,970065836,Albuquerque Public Schools,Female,Yes,NA,NA,NA,NA,NA,More than one race,NA,Sometimes,11,4- A lot,5- Always,4- A lot,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,4- Mostly true
student_227,teacher_3,post,970074861,Albuquerque Public Schools,Female,Yes,NA,NA,NA,NA,NA,More than one race,NA,Always,11,5- Always,5- Always,5- Always,5- Always,3- Sometimes,3- Sometimes,3- Sometimes,4- A lot,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_214,teacher_3,post,970057058,Albuquerque Public Schools,Female,Yes,NA,NA,NA,NA,NA,NA,hispanic,Sometimes,11,5- Always,5- Always,5- Always,4- A lot,NA,2- Rarely,3- Sometimes,1- Never,3- Neither disagree nor agree,3- Neither disagree nor agree,2- Somewhat disagree,3- Neither disagree nor agree,2- Somewhat disagree,4- Somewhat agree,2- Somewhat disagree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_222,teacher_3,post,970068550,Albuquerque Public Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Always,11,3- Sometimes,4- A lot,4- A lot,5- Always,3- Sometimes,5- Always,5- Always,4- A lot,5- Agree,3- Neither disagree nor agree,NA,3- Neither disagree nor agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,2- Somewhat disagree,3- Neither disagree nor agree,2- Somewhat disagree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_218,teacher_3,post,970060150,Albuquerque Public Schools,Male,Yes,NA,NA,NA,NA,White,NA,NA,Almost always,11,5- Always,5- Always,5- Always,5- Always,2- Rarely,2- Rarely,2- Rarely,3- Sometimes,4- Somewhat agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_215,teacher_3,post,970057904,Albuquerque Public Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Sometimes,11,5- Always,5- Always,5- Always,5- Always,4- A lot,3- Sometimes,3- Sometimes,3- Sometimes,5- Agree,2- Somewhat disagree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_225,teacher_3,post,970072208,Albuquerque Public Schools,Male,Yes,NA,NA,NA,NA,White,NA,NA,Always,11,4- A lot,4- A lot,3- Sometimes,4- A lot,3- Sometimes,3- Sometimes,3- Sometimes,3- Sometimes,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_229,teacher_3,post,970079035,Albuquerque Public Schools,Male,Yes,NA,NA,NA,NA,NA,NA,Spanish,Always,11,4- A lot,3- Sometimes,4- A lot,4- A lot,2- Rarely,3- Sometimes,2- Rarely,2- Rarely,4- Somewhat agree,2- Somewhat disagree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,4- Mostly true,5- Totally true
student_213,teacher_3,post,970055234,Albuquerque Public Schools,Male,Yes,NA,NA,NA,NA,White,NA,NA,Always,11,4- A lot,5- Always,5- Always,5- Always,3- Sometimes,2- Rarely,2- Rarely,2- Rarely,5- Agree,1- Disagree,5- Agree,3- Neither disagree nor agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,4- Mostly true
student_211,teacher_3,post,970049472,Albuquerque Public Schools,Male,Yes,NA,NA,NA,NA,White,NA,NA,Always,11,4- A lot,4- A lot,5- Always,4- A lot,2- Rarely,2- Rarely,2- Rarely,3- Sometimes,3- Neither disagree nor agree,2- Somewhat disagree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,4- Mostly true
student_212,teacher_3,post,970051303,Albuquerque Public Schools,Female,Yes,American Indian or Alaska Native,NA,NA,NA,White,NA,NA,Always,11,5- Always,5- Always,5- Always,5- Always,5- Always,3- Sometimes,3- Sometimes,3- Sometimes,4- Somewhat agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_209,teacher_3,post,970042975,Albuquerque Public Schools,Male,Yes,NA,NA,NA,NA,White,NA,NA,Always,11,4- A lot,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Mostly true,4- Mostly true,4- Mostly true,4- Mostly true,4- Mostly true
student_220,teacher_3,post,970064730,Albuquerque Public Schools,Male,Yes,NA,NA,NA,NA,NA,More than one race,NA,Sometimes,11,4- A lot,4- A lot,5- Always,5- Always,2- Rarely,3- Sometimes,2- Rarely,1- Never,4- Somewhat agree,1- Disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Mostly true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_228,teacher_3,post,970078105,Albuquerque Public Schools,Female,No,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,Always,10,4- A lot,4- A lot,5- Always,4- A lot,2- Rarely,3- Sometimes,3- Sometimes,3- Sometimes,2- Somewhat disagree,2- Somewhat disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,2- Somewhat disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_217,teacher_3,post,970059383,Albuquerque Public Schools,Female,Yes,NA,NA,NA,NA,NA,More than one race,NA,Always,11,5- Always,5- Always,5- Always,5- Always,2- Rarely,3- Sometimes,2- Rarely,2- Rarely,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,3- Neither disagree nor agree,3- Neither disagree nor agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_223,teacher_3,post,97006928,Albuquerque Public Schools,Female,No,NA,NA,Black or African American,NA,White,More than one race,NA,Always,11,4- A lot,4- A lot,5- Always,5- Always,2- Rarely,3- Sometimes,3- Sometimes,2- Rarely,5- Agree,2- Somewhat disagree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_210,teacher_3,post,970045242,Albuquerque Public Schools,Male,Yes,NA,NA,NA,NA,NA,NA,hispanic,Always,11,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- Somewhat agree,1- Disagree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_231,teacher_3,post,970094638,Albuquerque Public Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Always,11,4- A lot,4- A lot,4- A lot,5- Always,4- A lot,3- Sometimes,4- A lot,4- A lot,5- Agree,1- Disagree,4- Somewhat agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_230,teacher_3,post,970079541,Albuquerque Public Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Sometimes,11,4- A lot,3- Sometimes,4- A lot,5- Always,2- Rarely,2- Rarely,4- A lot,4- A lot,3- Neither disagree nor agree,3- Neither disagree nor agree,5- Agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,2- Somewhat disagree,5- Agree,5- Agree,5- Agree,3- Neither disagree nor agree,4- Somewhat agree,5- Totally true,5- Totally true,3- Neither untrue nor true,3- Neither untrue nor true,4- Mostly true
student_196,teacher_16,post,857441471,Deming Public Schools,Male,Yes,NA,NA,NA,NA,White,NA,NA,Always,12,4- A lot,4- A lot,5- Always,4- A lot,2- Rarely,1- Never,1- Never,1- Never,1- Disagree,5- Agree,1- Disagree,2- Somewhat disagree,1- Disagree,5- Agree,4- Somewhat agree,3- Neither disagree nor agree,2- Somewhat disagree,1- Disagree,3- Neither disagree nor agree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,5- Totally true
student_148,teacher_16,post,632326997,Deming Public Schools,Female,No,NA,NA,NA,NA,White,NA,NA,Always,12,5- Always,5- Always,5- Always,5- Always,3- Sometimes,3- Sometimes,2- Rarely,2- Rarely,5- Agree,1- Disagree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,5- Totally true
student_41,,post,174673277,Deming Public Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Almost always,6,4- A lot,3- Sometimes,5- Always,5- Always,3- Sometimes,1- Never,5- Always,3- Sometimes,4- Somewhat agree,2- Somewhat disagree,4- Somewhat agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,4- Somewhat agree,1- Disagree,4- Somewhat agree,2- Somewhat disagree,2- Somewhat disagree,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,4- Mostly true
student_79,,post,295352785,Deming Public Schools,Female,No,NA,NA,NA,NA,NA,NA,arabic\lightskin,Almost always,6,5- Always,3- Sometimes,5- Always,5- Always,3- Sometimes,3- Sometimes,3- Sometimes,3- Sometimes,5- Agree,1- Disagree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Agree,NA,5- Totally true,4- Mostly true,4- Mostly true,3- Neither untrue nor true,5- Totally true
student_69,teacher_12,post,251184693,Deming Public Schools,Prefer not to answer,Yes,NA,NA,NA,NA,White,NA,NA,Always,6,3- Sometimes,5- Always,5- Always,5- Always,3- Sometimes,1- Never,3- Sometimes,4- A lot,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,2- Somewhat disagree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,4- Mostly true,4- Mostly true
student_78,teacher_12,post,291519650,Deming Public Schools,Female,Yes,NA,NA,NA,NA,NA,NA,NA,Sometimes,6,4- A lot,3- Sometimes,5- Always,5- Always,3- Sometimes,3- Sometimes,3- Sometimes,3- Sometimes,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,4- Mostly true,4- Mostly true,5- Totally true
student_72,teacher_12,post,262812720,Deming Public Schools,Female,No,NA,NA,NA,NA,White,NA,NA,Always,6,5- Always,5- Always,5- Always,5- Always,4- A lot,NA,2- Rarely,5- Always,5- Agree,4- Somewhat agree,5- Agree,3- Neither disagree nor agree,4- Somewhat agree,5- Agree,5- Agree,4- Somewhat agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,5- Totally true,5- Totally true,5- Totally true,4- Mostly true,5- Totally true
student_116,teacher_12,post,477872618,Deming Public Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Sometimes,6,5- Always,5- Always,5- Always,5- Always,3- Sometimes,3- Sometimes,4- A lot,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_194,teacher_12,post,838387322,Deming Public Schools,Male,No,NA,NA,NA,NA,White,NA,NA,Always,6,5- Always,5- Always,5- Always,5- Always,2- Rarely,3- Sometimes,2- Rarely,3- Sometimes,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,4- Somewhat agree,5- Totally true,5- Totally true,4- Mostly true,4- Mostly true,5- Totally true
student_156,teacher_12,post,663581668,Deming Public Schools,Male,Yes,NA,NA,NA,NA,NA,NA,hispanic,Almost always,6,4- A lot,4- A lot,5- Always,5- Always,3- Sometimes,3- Sometimes,3- Sometimes,3- Sometimes,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,3- Neither disagree nor agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,4- Mostly true,5- Totally true
student_105,teacher_4,post,418644370,San Jon Municipal Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Almost always,9,4- A lot,5- Always,5- Always,5- Always,5- Always,4- A lot,5- Always,5- Always,3- Neither disagree nor agree,1- Disagree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Mostly true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_113,teacher_4,post,464591684,San Jon Municipal Schools,Female,No,NA,NA,NA,NA,White,NA,NA,Always,9,5- Always,4- A lot,5- Always,5- Always,3- Sometimes,3- Sometimes,3- Sometimes,2- Rarely,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,4- Mostly true,5- Totally true
student_181,teacher_4,post,768379638,San Jon Municipal Schools,Female,No,NA,NA,NA,NA,White,NA,NA,Always,9,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_199,teacher_4,post,875175929,San Jon Municipal Schools,Male,Yes,NA,NA,NA,NA,NA,NA,NA,Sometimes,9,4- A lot,4- A lot,4- A lot,3- Sometimes,1- Never,3- Sometimes,1- Never,1- Never,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,2- Somewhat disagree,4- Somewhat agree,4- Somewhat agree,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,5- Totally true
student_145,teacher_4,post,624184693,San Jon Municipal Schools,Female,No,NA,NA,NA,NA,White,NA,NA,Always,9,3- Sometimes,4- A lot,5- Always,5- Always,1- Never,3- Sometimes,2- Rarely,3- Sometimes,NA,3- Neither disagree nor agree,1- Disagree,2- Somewhat disagree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Mostly true,4- Mostly true,4- Mostly true,5- Totally true,5- Totally true
student_172,teacher_4,post,721841781,San Jon Municipal Schools,Female,No,NA,NA,NA,NA,White,NA,NA,Always,9,3- Sometimes,5- Always,5- Always,4- A lot,3- Sometimes,4- A lot,3- Sometimes,3- Sometimes,4- Somewhat agree,2- Somewhat disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,5- Totally true,4- Mostly true,5- Totally true,4- Mostly true,4- Mostly true
student_2,teacher_5,post,100,Clovis Municipal Schools,Male,No,NA,NA,NA,Asian,NA,NA,NA,Always,8,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_46,teacher_16,post,183193499,Deming Public Schools,Female,Yes,NA,NA,NA,NA,White,NA,NA,Always,12,4- A lot,4- A lot,5- Always,5- Always,3- Sometimes,5- Always,4- A lot,4- A lot,4- Somewhat agree,1- Disagree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_50,teacher_15,post,188635130,Deming Public Schools,Prefer not to answer,Yes,NA,NA,NA,NA,White,NA,NA,Never,10,3- Sometimes,5- Always,5- Always,5- Always,4- A lot,4- A lot,5- Always,5- Always,5- Agree,3- Neither disagree nor agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,5- Totally true,5- Totally true,5- Totally true,4- Mostly true,4- Mostly true
student_178,teacher_15,post,737895730,Deming Public Schools,Male,Yes,NA,NA,NA,NA,NA,NA,NA,Always,10,4- A lot,5- Always,4- A lot,5- Always,3- Sometimes,3- Sometimes,3- Sometimes,3- Sometimes,4- Somewhat agree,1- Disagree,4- Somewhat agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_82,teacher_15,post,323653287,Deming Public Schools,Male,Yes,NA,NA,NA,NA,White,NA,NA,Always,10,4- A lot,5- Always,5- Always,3- Sometimes,1- Never,3- Sometimes,1- Never,1- Never,1- Disagree,3- Neither disagree nor agree,4- Somewhat agree,2- Somewhat disagree,3- Neither disagree nor agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,5- Totally true,4- Mostly true,3- Neither untrue nor true,5- Totally true
student_20,teacher_15,post,142277813,Deming Public Schools,Male,Yes,NA,NA,NA,NA,White,NA,NA,Always,10,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_35,teacher_15,post,166219121,Deming Public Schools,Female,Yes,NA,NA,NA,NA,NA,NA,Hispanic,Sometimes,10,4- A lot,4- A lot,5- Always,5- Always,3- Sometimes,5- Always,5- Always,4- A lot,4- Somewhat agree,1- Disagree,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,5- Totally true,5- Totally true,4- Mostly true,5- Totally true,5- Totally true
