"How, if in any way, this course helped you prepare for school opening after COVID-19?",The independent online work activities were well-designed to help me meet the learning targets.,The Zoom meeting activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course even though we were meeting virtually.,This course helped me navigate remote and/or hybrid learning during COVID-19.
There wasn't a particular focus on how to re-orient students to the classroom following Covid-19.,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Just knowing more about the curriculum,Agree,Agree,Strongly agree,Agree
I would love to have these trainings in person before a school year starts and not at the end.,Agree,Agree,Agree,Agree
I better understand to help meet the needs of my students.,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
Spending time diving into the scaffold and supports built into the curriculum and offered in each lesson will help us meet the needs of ALL our students when we are back on-site learning together.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Hit the ground running when we get back,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I don't know how we can build collaboration and community with students virtually. Very difficult without body language.,Agree,Agree,Agree,Strongly disagree
This course helped to understand the foundational components of EL Education. Next step will be to get actual materials in hand and begin collaborating and planning.,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
I do not feel prepared to implement this if we do not go back to school in a traditional way,Agree,Neither agree nor disagree,Agree,Agree
This was an introduction to our new reading program . It offered a look into what we will be doing. But I am really looking forward to having the materials in front of me.,Agree,Agree,Agree,Agree
I feel uncertain about how we will do this if we don't go back in the fall.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
This course has taught me how to implement the EL curriculum. It has given me a headstart on the school year.the EL curriculum the EL curriculum.,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
That was actually the question that I was just thinking about. How to have the collaboration if we have to have remote learning. I think have break out rooms could work. That adds another layer of complexity in my brain right now! We will make it work because we alwys do!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I am more familiar with the curriculum we will begin using.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
understanding of how to use the program with my special education students,Agree,Agree,Agree,Agree
It has prepared me for how to assist and coach my teachers in EL Education.,Strongly agree,Agree,Agree,Strongly agree
I know what I need to be implementing when schools open back up after COVID-19,Strongly agree,Agree,Agree,Neither agree nor disagree
"I am now familiar with the teacher's guide, supplemental materials, and video library for EL Education through openupresources.org.",Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
by working together for a common goal,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
"I feel like the course helped me to prepare to implement the program in a classroom, regardless of COVID-19.",Agree,Strongly agree,Agree,Neither agree nor disagree
"Not knowing what school is going to look like, makes this difficult to answer. I am hoping that no matter what comes in the fall, this knowledge of EL will help me to meet students' needs.",Agree,Agree,Agree,Neither agree nor disagree
I feel like I have a much better understanding of how to navigate and plan with the modules.,Agree,Agree,Neither agree nor disagree,Strongly agree
"As long as we return to in person schooling, I feel ready. If we return to online schooling I will struggle with how to implement this curriculum.",Strongly agree,Agree,Strongly agree,Strongly agree
I will be able to supervise my teachers and help them prepare EL.,Agree,Agree,Neither agree nor disagree,Disagree
"Since we don't know what school is going to look like upon re-opening, right now it is difficulty to see how many aspects of this program (especially the collaboration) are going to be able to be used particularly if we return with strict social distancing measures in place or if we have to begin virtually.",Neither agree nor disagree,Agree,Agree,Agree
It introduced the curriculum,Agree,Agree,Agree,Agree
I will now know how to effectively use the EL books and guides.,Strongly agree,Agree,Agree,Neither agree nor disagree
Prepare for implementation of what it could possibly look like if virtual in the fall by completing the bootcamp virtually,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It gave me resources to look over as we prepare,Strongly agree,Strongly agree,Agree,Agree
The way in which I will teach the first module.,Agree,Strongly agree,Strongly agree,Strongly agree
Starting fresh with a brand new curriculum that has structure will be beneficial for my students.,Agree,Agree,Agree,Agree
I hope this can help limit all the time I spend on trying to find the right materials.,Neither agree nor disagree,Agree,Strongly agree,Agree
Teacher collaboration.,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
It helped introduce me to a new curriculum.,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
It helped to know what my school will be doing in the future so that I am aware of how this will work with interventionist.,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
N/A - I am a resource teacher and do not teach whole group literacy.,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
supports,Agree,Agree,Neither agree nor disagree,Strongly agree
"I now have a better understanding of the EL curriculum, which will help me as we go back to school. I do need to continue to look through all of the resources to figure out where everything is. I struggle with everything being in a google doc/folder.",Strongly agree,Agree,Agree,Agree
I do not know since know one really knows what our school will look like in the fall.,Strongly agree,Strongly agree,Agree,Agree
How to organize my learning the scaffolding for students,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
gave us more chance for virtual collaboration.,Neither agree nor disagree,Agree,Agree,Agree
Collaboration along with virtual learning.,Agree,Agree,Agree,Strongly agree
How materials can be transferred virtually.,Strongly agree,Agree,Strongly agree,Strongly agree
"Another component to online learning, using a different platform and becoming more comfortable with Zoom.",Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
Taking a deeper look at the curriculum and gaining a better understanding for it,Agree,Agree,Agree,Agree
"I don't think anything can help us really prepare for life after COVID-19 because we are not there and we do not yet know when we will get there. Having said that, this process has helped our school start to think about how we will start back up and consider the even greater gaps in learning students will come back with.",Agree,Disagree,Neither agree nor disagree,Disagree
I'm better prepared to teach remotely because the resources I need are available online.e,Agree,Agree,Agree,Strongly agree
This is all new to me so I guess I don't know how this is going to help me any different then opening if their wasn't COVID-19 as my students come to me because they are behind.,Neither agree nor disagree,Agree,Agree,Agree
It got me thinking about what needs to be priority for FTF learning vs what I can push to a digital platform.,Strongly agree,Agree,Agree,Strongly agree
helped me dive into virtual learning and to know how the students/parents will feel,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helps on the virtual level.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It gave me a better understanding of the curriculum.,Strongly agree,Agree,Agree,Neither agree nor disagree
none,Agree,Agree,Agree,Agree
Calmed fears that I would have trouble “adapting” for my students’ needs,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Doing this virtually was extremely difficult and I don't feel confident in the content. However, I will research on my own to understand it before school starts",Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
Gave me insight to how I will implement EL.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
It showed the program should work.,Agree,Strongly agree,Strongly agree,Strongly agree
It helped me process how EL should be taught.,Agree,Agree,Agree,Agree
na,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Better prepared,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Digital learning platforms,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Virtual training,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It introduced me to some of the basics to EL.,Neither agree nor disagree,Agree,Agree,Agree
It has helped in preparing me for the new curriculum.,Agree,Agree,Agree,Agree
"I wanted to learn everything I needed to know about implement this curriculum. Instead I feel like all of the time was spent on the ""why"" of this curriculum. I felt like the assignment were long and tedious and should have been worked on together with other teachers. At the end of this we do not know the ""how"" of the curriculum and that is what I was looking forward to so that I give my students the best.",Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
Thinking about teaching this new unit and which lessons to set up as synchronous and asynchronous.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Just doing Zoom was a learning experience!,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
"I’m still unsure how school will look in the fall, virtual vs face to face, but that is something that has yet to be determined",Strongly agree,Agree,Agree,Strongly agree
"I’m still unsure how school will look in the fall, virtual vs face to face, but that is something that has yet to be determined",Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course has shown me how to teach this curriculum if we go back to school virtually.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
EL is offered in a digital platform that can be shared in my google classroom.,Agree,Agree,Agree,Agree
I learned how to interact with multiple online platforms.,Strongly agree,Strongly agree,Strongly agree,Agree
The only thing that has helped me was the final meeting seeing where to login to learn zillion and start preparing and the module/unit unpacking. I felt the other stuff was not related to the curriculum.,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Learning how to conduct a class online. Really like the chat box.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
Not sure yet :),Agree,Agree,Agree,Agree
Getting to know the curriculum,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
More confident with the materials.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Having the virtual piece to it is going to be helpful.,Strongly agree,Strongly agree,Strongly agree,Agree
It's online.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course has prepared me to teach the curriculum under normal circumstances. I am unsure how this would look in a virtual situation.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I think this course provided virtual connections with the curriculum that teachers can utilize.,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
Navigation of the curriculum and its contents,Agree,Agree,Agree,Neither agree nor disagree
How to structure for a virtual environment,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Ideas on using One Note and bb,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I was able to see how I can annotate the new lessons.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I learned how to think about the lessons to determine what needs to be independent activities versus face to face.,Agree,Strongly agree,Strongly agree,Strongly agree
Thinking about how to deliver lessons asynchronously or in a hybrid situation,Agree,Strongly agree,Strongly agree,Strongly agree
I have a better understanding of how the 3.0 units are aligned,Strongly agree,Strongly agree,Strongly agree,Strongly agree
modeled,Strongly agree,Agree,Agree,Strongly agree
It helped by introducing me to the new unit.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped me to get in the mindset and consider methods outside of traditional classroom learning. The collaboration was so helpful.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I’m still unsure how school will look in the fall, virtual vs face to face, but that is something that has yet to be determined",Strongly agree,Strongly agree,Strongly agree,Strongly agree
We discussed how to divide the lessons between synchronous and asynchronous learning.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
The last breakout session where we looked at lessons and evaluated what should be taught face to face and what could be a remote activity. Helped me to prioritize activities and start to plan with that in mind.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Called fears that I would have trouble “adapting” for my students’ needs,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Digital learning platforms,Strongly agree,Agree,Agree,Strongly agree
To start thinking about what this unit would look like in the virtual classroom,Strongly agree,Strongly agree,Strongly agree,Strongly agree
opened discussion on in person vs online teaching differentiation,Strongly agree,Strongly agree,Strongly agree,Strongly agree
How to structure for a virtual environment,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I have a better understanding of my unit so I can plan for face-to-face or virtual.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
To start thinking about the sync/async demands of lessons,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Thinking about teaching this new unit and which lessons to set up as synchronous and asynchronous.,Strongly agree,Agree,Agree,Strongly agree
I got to preview the new guidebook unit,Agree,Strongly agree,Strongly agree,Strongly agree
Worked through the unit and got ideas on how to implement in a possible virtual role.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
considering lessons best suited offline or not,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course helped me as a student teacher be prepared for the new challenges.,Strongly agree,Strongly agree,Agree,Agree
"Not sure it really did - if anything, it helped me provide sentence starters to help bring more conversations into my classroom, whether virtual or in person.",Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree
I learned about the program and how to use it.,Agree,Agree,Agree,Neither agree nor disagree
By helping me get familiar with the EL components,Agree,Agree,Neither agree nor disagree,Disagree
This course gave me the opportunity to become familiar with virtual learning and zooming.,Agree,Agree,Agree,Agree
I have a better understanding of the curriculum,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
We didn't discuss what the program looks like if it has to be taught virtually.,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
I am a hands on learner so not having my teacher manuals to touch I didn't learn like I wanted to. I am not a computer person so learning on line didn't really help.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
Helped me to prepare to teach students virtually.,Agree,Neither agree nor disagree,Agree,Strongly agree
I teach kindergarten so this course has not changed how I will prepare for the beginning of school.,Disagree,Disagree,Neither agree nor disagree,Agree
"I have learned ways to scaffold the learning and offer extra support to the students as they return to an active, learning environment.",Strongly agree,Strongly agree,Strongly agree,Agree
It did give an example of what a virtual class lesson could look like.,Agree,Agree,Agree,Agree
I feel that this course has taught me many things about the new curriculum and how to implement it in the classroom with the students present. Not sure how this curriculum would look in a virtual setting and praying I don't have to use it that way!,Strongly agree,Agree,Strongly agree,Strongly agree
Get familiar with the materials,Agree,Agree,Agree,Agree
"It did not, I recommended that there by more info on this in the beginning. We don't know how to lower the curriculum and truly meet students where they are after COVID.",Strongly disagree,Disagree,Disagree,Neither agree nor disagree
knowing what to expect,Agree,Agree,Agree,Agree
Zoom meetings help to understand how to get participants involved.,Agree,Agree,Agree,Neither agree nor disagree
I was able to see and be part of an actual zoom class.,Strongly agree,Agree,Agree,Agree
It did not prepare me for that purpose but it did meet the purpose of preparing for new instructional materials.,Neither agree nor disagree,Agree,Agree,Strongly agree
"I don't know what to expect when school reopens, but I know that I can continue my work with HQIM.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Thinking about planning with teachers and using assessment to guide the work we do with students to bridge and fill gaps created by COVID-19.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Strongly agree
n/a,Agree,Strongly agree,Agree,Agree
"This course has opened my eyes to the importance of small group instruction in order to meet the needs of the students so that everyone has a chance of expressing himself, feeling accepted, and having a sense of accomplishment through making small steps towards working on grade level.",Strongly agree,Agree,Strongly agree,Strongly agree
It helped to prepare the students socially and emotionally.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I gives me an idea of how distance learning will take place,Agree,Strongly agree,Strongly agree,Agree
N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I am aware of the unit we will be teaching starting in August whether virtual or in school,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Provided refreshing incentives to lead classroom learning,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Virtual.learning.options and opportunities,Strongly agree,Agree,Agree,Strongly agree
Using zoom has given me the ability to become more familiar with the virtual technology.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
prepared me to plan with sped counterparts,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It gives an idea of how virtual learning would look like,Agree,Strongly agree,Strongly agree,Agree
online teaching and communicating,Strongly agree,Strongly agree,Strongly agree,Strongly agree
More ideas/resources for small group and independent work stations that can be used either virtually or face to face,Strongly agree,Agree,Agree,Strongly agree
Learning how to maneuver technology for virtual learning,Strongly agree,Strongly agree,Strongly agree,Strongly agree
N/a,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Learning how to maneuver technology for virtual learning,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I am thinking about my first unit and how I can apply what I am learning!,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree
It gave me the structure/insight to the possibility for what's to come.,Agree,Agree,Strongly agree,Agree
It helped me to plan upcoming lessons.,Strongly agree,Agree,Strongly agree,Strongly agree
Learning how to maneuver technology for virtual learning,Strongly agree,Agree,Strongly agree,Strongly agree
NA,Agree,Strongly agree,Strongly agree,Agree
It helped me just have a mind-set change for future planning.,Strongly agree,Agree,Strongly agree,Strongly agree
lesson planning/ideas,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Better with technology now,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This training has given me extra knowledge on how to teach vocabulary.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
N/a,Strongly agree,Strongly agree,Strongly agree,Strongly agree
online communication,Strongly agree,Strongly agree,Strongly agree,Strongly agree
n/a,Agree,Agree,Strongly agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Agree
N/A,Agree,Strongly agree,Strongly agree,Agree
action planning was helpful,Agree,Agree,Agree,Neither agree nor disagree
discussion time with my school,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
Begin to think seriously about how this can be accomplished,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Gave me a general idea of what skills might look like come fall.,Agree,Agree,Neither agree nor disagree,Agree
Showing some specific examples of online teaching as we worked through be learners ourselves.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Seeing how things could be taught virtually if needed.,Strongly agree,Agree,Agree,Strongly agree
A lesson modeled virtually- was very helpful.,Agree,Agree,Agree,Agree
N/A,Strongly agree,Neither agree nor disagree,Agree,Agree
Learned about some virtual activities if we have to have school over a virtual format in the fall.,Strongly agree,Neither agree nor disagree,Agree,Strongly agree
It gave great advice and tips on how to get the most out of skills block!,Strongly agree,Agree,Strongly agree,Strongly agree
how to teach a lesson online,Agree,Agree,Agree,Agree
The students will be able to follow along with minimal supplies,Strongly agree,Strongly agree,Agree,Strongly agree
Saw a video clip and experiential that showed how it might look,Agree,Strongly agree,Strongly agree,Strongly agree
This will help determine what students need and fill in any gaps.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
More examples of how to do this virtually,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Helped me organization and thinking about how that would work virtually,Strongly agree,Agree,Agree,Agree
I love how Adrienne modeled lessons virtually that really helped us see what it could look like virtually.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
More explanations on what I struggled with this past year during my time piloting skills. There are still a few areas I am nervous about but overall it was beneficial and helping me with learning more about the skills curriculum and structure,Agree,Agree,Strongly agree,Disagree
I will be more prepared to meet my students' needs.,Agree,Agree,Agree,Agree
Helped me think about what we might need to do to adapt to online learning and showed me an experiential of how Skills online could look,Agree,Agree,Agree,Agree
We discussed different scenarios but I feel that no one really knows but we will do the best that we can do as we have an awesome staff and Ryan is a fabulous leader!,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
Ideas on how to teach virtually,Agree,Agree,Agree,Agree
I love the idea of working as a district level team to share the work load and provide equitable learning for all of our students in Fort Dodge. The virtual lesson helped me see what it could look like if we can not see our kids in person.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It gave us time as a district and grade level to start brainstorming possible ideas.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Both seeing and having time to think about how to teach Skills through an online platform,Strongly agree,Strongly agree,Strongly agree,Strongly agree
A sense of it is possible to teach in any format when we plan ahead and work together,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I appreciated Adrienne modeling how to do a lesson virtually if necessary.,Agree,Agree,Agree,Agree
Be more prepared,Agree,Agree,Agree,Neither agree nor disagree
It has given me a better understanding of what I am teaching,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I apreciaed the modeling of the small group lesson, if I were to teach lessons virtually",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
I wasn't sure about this question. Did it mean preparing to teach if we are online?,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It has provided me with more options of things to implement.,Agree,Neither agree nor disagree,Agree,Agree
Seeing the experiential lesson made me more confident that we can do this with our students and it will still be engaging.,Strongly agree,Strongly agree,Strongly agree,Agree
"Emphasized meeting the needs of students where they are at, since many will most likely need instruction from the previous grade level's content.",Strongly agree,Agree,Agree,Agree
A better understanding of skills block,Agree,Agree,Agree,Strongly agree
"Got to look more in depth at materials, assessments, and module lessons.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
It improved my understanding of FS and how to implement it.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Finding out that some activities can be done over zoom.,Agree,Agree,Agree,Agree
How to plan,Agree,Agree,Agree,Agree
I am thinking about what needs to be taught face to face and what can be practiced independently if we use a hybrid approach this school year which is likely.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Not at all,Strongly agree,Agree,Strongly agree,Strongly agree
None! Great training!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
None! Great training!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
None,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
the digital aspect,Strongly agree,Strongly agree,Agree,Strongly agree
We will have better plans to address unfinished learning.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It made me realize how important it will be in the coming year to help students fill in the gaps in their education.,Agree,Strongly agree,Strongly agree,Strongly agree
By working with peers virtually.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
DId not adress post COVID needs,Strongly agree,Strongly agree,Strongly agree,Disagree
Stress more equity for the needs of DL's.,Agree,Agree,Strongly agree,Neither agree nor disagree
This course helped me to plan for supporting teachers and students as they work towards closing achievement gaps.,Strongly agree,Agree,Strongly agree,Strongly agree
Learning about the guide and the having the guide will be very helpful. I anticipate we will have more diverse learners than ever.,Strongly agree,Agree,Strongly agree,Strongly agree
Not at all,Strongly agree,Agree,Strongly agree,Strongly agree
Students will need those interventions to bridge the gap from last school year.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Unfinished learning will cause gaps.,Strongly agree,Agree,Strongly agree,Strongly agree
N/A,Agree,Agree,Strongly agree,Agree
It helped to decide how to best assist diverse learners.,Strongly agree,Agree,Strongly agree,Strongly agree
None! Great training!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
None,Strongly agree,Strongly agree,Strongly agree,Agree
Thinking about breakout groups/Zoom,Strongly agree,Strongly agree,Strongly agree,Strongly agree
None,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
This didn't help with the scheduling issues we may have or the fact that online learning may occur. That presents so many other problems with identifying reading and fluency issues and ways to monitor any intervention given and their progress.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This method of learning is difficult when you cannot find the correct materials.,Agree,Strongly agree,Strongly agree,Agree
It has helped significantly.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Strongly agree
plan for organization,Strongly agree,Agree,Strongly agree,Strongly agree
Resources to use if we go virtual.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
N/A,Strongly agree,Strongly agree,Agree,Strongly agree
planning,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It has given me tools that are easy to incorporate into my classroom.,Strongly agree,Agree,Strongly agree,Strongly agree
na,Strongly agree,Strongly agree,Strongly agree,Agree
N/A,Agree,Agree,Strongly agree,Agree
It has helped me learn how to use zoom.,Strongly agree,Agree,Strongly agree,Strongly agree
Tech savvy-ness,Strongly agree,Agree,Strongly agree,Strongly agree
to prepare virtually,Strongly agree,Agree,Strongly agree,Neither agree nor disagree
It's helping me learn my content,Agree,Strongly agree,Strongly agree,Agree
Allowed me to understand the importance of fluency,Strongly agree,Strongly agree,Strongly agree,Strongly agree
n/a,Strongly agree,Agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Agree
It didn't.,Strongly agree,Strongly agree,Agree,Strongly agree
