date_for_the_session,professional_training_session,select_your_site_district_parish_or_network,select_the_best_description_for_your_role,select_the_grade_band_s_you_focused_on,learning_session_satisfaction,todays_topic_was_relevant_for_my_role,designed_to_help_me_learn,learning_to_try_out,likely_to_apply_46_weeks,select_the_name_of_your_first_facilitator,s_he_facilitated_the_content_clearly_12,s_he_effectively_built_a_community_of_learners_13,did_you_have_a_second_facilitator,select_the_name_of_your_second_facilitator,s_he_facilitated_the_content_clearly_16,s_he_effectively_built_a_community_of_learners_17,overall_what_went_well_in_this_professional_learning,which_activities_best_supported_your_learning,what_could_have_improved_your_experience,likely_to_recommend_colleague_friend,why_did_you_choose_this_rating,do_you_have_additional_comments
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Reading protocols and questioning to engage all students,Agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Interacting in the exact learning activities that will take place in the classroom,"Read aloud, pre and post shifts discussions","Nothing, it was great",10,New curriculum,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",School-based administrator or supervisor,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Utilizing text sets to work with students to build knowledge,Neither agree nor disagree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Motivation to rollout the curriculum was evident based on teacher responses,The pre and post shift activities,"NA",10,I truly believe that it is a strong curriculum that will provide students what they need to grow as learners.,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,EL,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,everything,turn and talk,nothing,10,it was great,no
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Implementing EL in my classroom,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Presentation of materials,Handouts,More hands on learning,8,Everyone was clearly laid out,No
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Agree,Agree,Working on developing my pedagogy and knowledge,Neither agree nor disagree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,"The discussion was nice, as was having an opportunity to discuss TLab with Mr. Endicott.",Just running through each area step by step and expanding on them where we can.,"Not much, its just day 1 so I didn't really know what to expect.",5,Since I have not yet made up my mind on it.,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Having a strong curriculum.,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Justin was very informative and helpful.,learning about the cycle of inquiry.,Nothing,10,I'm motivated.,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,"Grades K-2, Grades 3-5",Strongly agree,Strongly agree,Strongly agree,"Head, Heart & Habits",Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Information,Experientials,n/a,10,Very informative and necessary to better prepare our students,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 96",School-based administrator or supervisor,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Utilizing text sets to work with students to build knowledge,Neither agree nor disagree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Motivation to rollout the curriculum was evident based on teacher responses,The pre and post shift activities,"NA",10,I truly believe that it is a strong curriculum that will provide students what they need to grow as learners.,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Agree,Agree,Agree,the ELL supports,Neither agree nor disagree,Mandy,Agree,Agree,NA,NA,NA,NA,learn how to unpack the curr.,the hands on activities,more time navigating the EL curr. online,8,it was informative,Great job!
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Getting started and making sure we have the materials to teach module 1,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Interactive and gave a good vision on how the instruction supports higher level thinking and rigor.,Pre and post shiftp,N/A,10,I think everyone would benefit from a deeper dive into the shifts.,Thank you!!
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,I am excited to see how the resources we learned about go together and to use more complex text with the students.,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Our facilitator was very knowledgeable and kept us all interested and engaged.,The exploration of the digital and print materials.,if we had the actual texts to review but it was great!,10,"It was well organized, and extremely informative.",no
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Neither agree nor disagree,Strongly agree,I am the math teacher but I will check in with the ELA teacher.,Strongly disagree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Unpacking and understanding the structure of EL,discussions,N/A,10,Very insightful,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Neither agree nor disagree,Strongly agree,I don't know,Neither agree nor disagree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,"It was easy to understand what the work is going to look like moving forward,.The presentation was upbeat interactive and enthusiastic","Looking around the website, understand the rationale behind the program",so far so good,10,the time was well monitored and the activities are useful to unpacking a new curriculum,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Exposing students to a variety of complex texts and widening their knowledge about topics they may not know much about,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,"Learning about the rationale behind the curriculum, where to find resources, how to roll out the program","All online tutorials, reading with a partner",N/A,10,I think there is great potential in this curriculum,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",School-based coach,NA,Strongly agree,Strongly agree,Strongly agree,Supporting my teachers in bringing complex text to their students in a scaffolded way to build knowledge!,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Everything!Mandi had so much knowledge to share and she gave us a information that will be immediately applicable in our roll-out of the curriculum.,Learning more about the ELA shifts and where they're evident in the EL curriculum.,Nothing- I'm looking forward to our next day of bootcamp.,10,It was a fantastic day and I'm leaving feeling inspired.,Thank you!
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The tackling complex texts with my students.,Neither agree nor disagree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Time to reflect on the why the shifts need to happen in the classroom and how EL does this through their modules.,participating in an experience before and after the shifts.,More time exploring the 5th grade modules.,10,Informative & I am exciting to implement this in my classroom.,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Trying a new way of teaching ELA,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,My understanding,Going through the website to find the different resources needed,N/A,10,It looks like it is a great and fun program to use,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,complex text,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Opportunities to discuss with my co-workers,Looking at content as a student and disucssing with my table.,n/a,10,Mandy was a great facilitator,"no,"
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Introducing complex texts to students,Neither agree nor disagree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Information given was very clear and coherent.,Hands-on learning activities and time to reflect,Examples given from the grade level specific to my teaching,10,Informative,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The new ELA activities!,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Mandy answered all of the questions quickly and clearly.,Group activities.,If we saw a lesson being taught so that we can see how it looks and sounds like.,10,I learned alot of new information.,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Implementing a lesson,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,The pacing and the unpacking of the curriculum,The group work and the learning as a student activity pre and post shift,More hands on,9,I really enjoyed the curriculum and what it means for the students and I think it will help my students grow.,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Complex texts,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Learning about the online materials portal and diving into instructional shifts,Discussions,More practice with lesson planning,10,I believe in the work and curriculum being implemented for student growth,NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Implementation of an EL module on each grade,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,The comparison of pre shift work to post shift work in standards and the dig into the digital resources,all of the content from today will support work in our school,additional time,10,"Mandy was well informed, honest and presented the material in an accessible way to us",I look forward to Bootcamp Day 2
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Using the website and professional learning,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Information,Navigating the site,n/a,10,so helpful,thank you!
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"Having resources and materials at my fingertips that all fold into one, cohesive piece",Agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Understanding how the new instructional shift is going to nurture college-ready learners,The comparison lesson old shift vs. new shift,More 6-8 materials,10,"Mindy was so personable, clear, and knowledgeable without being overwhelming.She was great.",NA
2019-11-05,"EL K-5 BootCamp, Day 1","NYC District 11, PS 483",Teacher or specialist,NA,Strongly agree,Strongly agree,Agree,EL curriculum,Strongly agree,Mandy,Strongly agree,Strongly agree,NA,NA,NA,NA,Mandy was a good facilitator,The activities at the end where we were actually looking at materials,more time to look at materials,10,Good PD,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,Head heart habits,NA,Octavia,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,We will work to adapt what we experienced today to meet the needs of our teachers.,NA,Octavia,Agree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,We have a lot of work to do to make this curriculum work effectively for our students.,NA,Octavia,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,7,I am hopeful that we will really dig in tomorrow and have a clearer picture of how to make this curriculum really live and breathe.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,The resources that were shared that connect with the EL curriculum. Our district is familiar with the layout of the curriculum and have buy in to the values of EL.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,I think being in a community all grappling with the same thing is so powerful and helps to strategize and build resources.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"I am taking my connection between the shifts and the curriculum, concrete resources that I can share with teachers (Open Up, Learn Zillion, etc) and a refresher on the structures of the the EL curriculum (especially in the K-2 grade levels where we are still determining whether to implement EL)",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,9,I felt today was a great beginning for our work with EL - although some of the information on the structures/accessing materials felt less relevant (since we are already using it). I am excited for our ongoing work with this cohort.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,Many options for support with curriculum implementation. Hope that I can provide some PD based on what I learned today.,NA,Octavia,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,9,"I think that without this sort of support, teachers are left floundering through a lot of materials and the philosophy is strong enough to power through and stick with it.",NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,I will take back to my Kindergarten team and co-teacher the idea that EL is not a script but a powerful curriculum and platform for learning. I will also take back more background knowledge on our shifts and why they are important for our students- this helps drive the work that needs to be done when faced with a challenging new curriculum!,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,"I felt like our time was very well spent and that we had opportunities to collaborate at specific grade levels with teachers who teach in different buildings, districts, and hold a variety of positions/ professional expertise.",NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"Contact information from Waltham district, who has been implementing this curriculum for several years.",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,I'm very pleased with how the entire day was planned and executed. Lots of information to bring back to my school/district.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,resources that teachers can use as we continue to plan for the units.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,knowledgeable and engaging,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,I feel confident in my abiltiy to teach the EL curriculum to all my students.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,I feel the session gave me a more in depth view of EL.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"All the exact instructional shifts, as well as the 3 dimensions to help with our lesson planning",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,"I thought there was a great balance of peer to peer collaboration and learning from the presentation, as well as both facilitators were so helpful in helping us really build a strong foundation of the curriculum",NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,Using the backwards design (both end of unit and module assessments) to better understand what to teach during module lessons and what we can do during the ALL Block to fill in the gaps.,NA,Octavia,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,10,The content that we talked about today was informative and Octavia did a great job building our community to talk about EL when most of us were feeling overwhelmed with it.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"A greater understanding of how EL reflects the ELA shifts, an understanding of how modules build throughout the year and also vertically. Also the ""cheat sheet"" for navigating materials will be very useful.",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,"The presentation was clear, engaging, and encouraging.",NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"The very first quote from the opening circle - meaningful to all of us. Trust the curriculum and buy in - it will be worth it. Not going for mastery right now, all on a learning curve and see where we're headed.",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,"This session was completely applicable in all ways for once, thank you!",NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,Online resources for teachers. Ideas for PD moving forward.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,I don't know everything about the program but the quit overview seemed relevant to the work BPS is trying to do.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,A better understanding of the curriculum and a better understanding of it's purpose and the building stones for the curriculum,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,I think it was a good use of time and professional development,NA
